Acanthus ilicifolius ,Apigenin
Blepharis sindica,Apigenin
Allium Sativum,Apigenin
Mangifera indica ,Apigenin
Artabotrys uncinatus ,Apigenin
Apium graveolens ,Apigenin
Daucus carota ,Apigenin
Asparagus officinalis ,Apigenin
Asphodeline globifera,Apigenin
Bulbine capitata,Apigenin
Achillea clavennae,Apigenin
Achillea millefolium ,Apigenin
Amberboa ramosa ,Apigenin
Anthemis altissima ,Apigenin
Artemisia minor,Apigenin
Artemisia vestita ,Apigenin
Baccharis gaudichaudiana,Apigenin
Bellis perennis ,Apigenin
Bidens tripartita ,Apigenin
Chamomilla recutina,Apigenin
Chrysanthemum boreale,Apigenin
Chrysanthemum cineraiaefolium,Apigenin
Chrysothamnus nauseosus,Apigenin
Gnaphalium affine ,Apigenin
Helichrysum graveolen,Apigenin
Lactuca indica ,Apigenin
Onopordum acanthium ,Apigenin
Picris cyanocarpa,Apigenin
Picris kamtschatica,Apigenin
Rhaponticum carthamoides ,Apigenin
Santolina chamaecyperissus,Apigenin
Saussurea medusa,Apigenin
Scorzonera divaricata,Apigenin
Sonchus arvensis ,Apigenin
Taraxacum officinale ,Apigenin
Epimedium acuminatum,Apigenin
Epimedium brevicornum ,Apigenin
Epimedium davidii,Apigenin
Epimedium dolichostemen,Apigenin
Epimedium fargesii,Apigenin
Epimedium franchetii,Apigenin
Epimedium koreanum ,Apigenin
Epimedium leishanense,Apigenin
Epimedium leptorrhizum,Apigenin
Epimedium membranaceum,Apigenin
Epimedium myrianthum,Apigenin
Epimedium pauciflorum,Apigenin
Epimedium pubescens ,Apigenin
Epimedium sagittatum ,Apigenin
Epimedium stellatum,Apigenin
Epimedium wushanense ,Apigenin
Epimedium zhenbaense,Apigenin
Epimedium zhushanense,Apigenin
Betula nigra ,Apigenin
Biebersteinia orphanidis,Apigenin
Campsis grandiflora,Apigenin
Newbouldia laevis ,Apigenin
Onosma hispida ,Apigenin
Aechmea glomerata,Apigenin
Buddleja officinalis ,Apigenin
Cannabis indica,Apigenin
Cannabis inflorescences,Apigenin
Cannabis sativa ,Apigenin
Capparis himalayensis,Apigenin
Melandrium album ,Apigenin
Cephalotaxus fortunei,Apigenin
Cephalotaxus koreana,Apigenin
Cephalotaxus wilsoniana,Apigenin
Cochlospermum gillivraei,Apigenin
Rhodiola kirilowii,Apigenin
Rhodiola rosea ,Apigenin
Brassica oleracea ,Apigenin
Raphanus sativus ,Apigenin
Chamaecyparis pisifera,Apigenin
Ephedra sinica ,Apigenin
Leiothrix curvifolia,Apigenin
Cladogynos orientalis,Apigenin
Acacia aroma ,Apigenin
Cadia purpurea,Apigenin
Genista ephedroides,Apigenin
Indigofera tetrantha,Apigenin
Kummerowia striata ,Apigenin
Lespedeza virgata,Apigenin
Medicago arabica,Apigenin
Medicago sativa ,Apigenin
Medicago truncatula,Apigenin
Mimosa hostilis,Apigenin
Vicia faba ,Apigenin
Gentiana triflora,Apigenin
Ginkgo biloba ,Apigenin
Xiphidium caeruleum ,Apigenin
Enhalus acoroides,Apigenin
Halophila johnsonii,Apigenin
Halophila stipulacea,Apigenin
Thalassia testudinum,Apigenin
Anisomeles indica ,Apigenin
Elsholtzia bodinieri,Apigenin
Leucas aspera ,Apigenin
Mentha pulegium ,Apigenin
Mentha x piperita,Apigenin
Microtoena prainiana,Apigenin
Ocimum sanctum ,Apigenin
Phlomis nissolii,Apigenin
Pogostemon cablin ,Apigenin
Rosmarinus officinalis ,Apigenin
Salvia aegyptiaca ,Apigenin
Salvia albimaculata,Apigenin
Salvia glutinosa ,Apigenin
Salvia horminum ,Apigenin
Salvia kopolnovii,Apigenin
Salvia lavandulaefolia,Apigenin
Salvia lavandulifolia ,Apigenin
Salvia limbata,Apigenin
Salvia moorcroftiana ,Apigenin
Salvia nemorosa,Apigenin
Salvia officinalis ,Apigenin
Salvia palaestina,Apigenin
Salvia pedicellata,Apigenin
Salvia pinnata,Apigenin
Salvia pratensis ,Apigenin
Salvia sclarea ,Apigenin
Salvia staminea,Apigenin
Salvia verbenaca ,Apigenin
Salvia yosgadensis,Apigenin
Satureja subspicata ,Apigenin
Schnabelia tetradonta,Apigenin
Scutellaria barbata ,Apigenin
Scutellaria karjagini,Apigenin
Scutellaria orientalis ,Apigenin
Scutellaria strigillosa,Apigenin
Thymus serpyllum ,Apigenin
Punica granatum ,Apigenin
Ibicella lutea,Apigenin
Ficus formosana,Apigenin
Ficus hirta ,Apigenin
Nymphaea alba ,Apigenin
Bletilla formosana,Apigenin
Pinus sibirica,Apigenin
Antirrhinum majus ,Apigenin
Bacopa monniera,Apigenin
Plantago major ,Apigenin
Veronica spicata,Apigenin
Zea mays ,Apigenin
Podocarpus fasciculus,Apigenin
Polygonum cuspidatum ,Apigenin
Cheilanthes bullosa,Apigenin
Notholaena candida,Apigenin
Aquilegia ecalcarata,Apigenin
Agrimonia pilosa ,Apigenin
Physocarpus capitatus,Apigenin
Prunus avium ,Apigenin
Spiraea hypericifolia,Apigenin
Casearia ilicifolia,Apigenin
Sapindus mukorossi ,Apigenin
Houttuynia cordata ,Apigenin
Leucophyllum ambiguum,Apigenin
Verbascum lychnitis,Apigenin
Petunia hybrida,Apigenin
Taxus chinensis,Apigenin
Taxus fuana,Apigenin
Taxus yunnanensis,Apigenin
Daphne sericea,Apigenin
Boehmeria nivea,Apigenin
Apis mellifera ligustica ,Apigenin
Larrea divaricata ,Apigenin
Larrea tridentata ,Apigenin
Rhus javanica ,Butein
Toxicodendron semilata,Butein
Toxicodendron vernicifluum,Butein
Baeria chrysostoma,Butein
Coreopsis maritima,Butein
Dahlia variabilis ,Butein
Viguiera eriophora,Butein
Viguiera multiflora,Butein
Butea frondosa ,Butein
Caesalpinia japonica,Butein
Dalbergia odorifera ,Butein
Robinia pseudoacacia ,Butein
Taxus fuana,Butein
Taxus yunnanensis,Butein
Mangifera indica,Catechin
Annona muricata,Catechin
Artabotrys uncinatus,Catechin
Mitrella kentii,Catechin
Apocynum venetum,Catechin
Asparagus officinalis,Catechin
Betula papyrifera,Catechin
Carpinus cordata,Catechin
Humulus lupulus,Catechin
Gymnosporia trigyna,Catechin
Salacia prinoides,Catechin
Tripterygium hypoglaucum,Catechin
Cistus salviifolius,Catechin
Combretum quadrangulare,Catechin
Arabidopsis thaliana,Catechin
Momordica charantia,Catechin
Chamaecyparis formosensis,Catechin
Elaeagnus angustifolia,Catechin
Hippophae rhamnoides,Catechin
Ephedra sinica,Catechin
Rhododendron calophytum,Catechin
Rhododendron catawbiense,Catechin
Rhododendron fortunei,Catechin
Rhododendron galactinum,Catechin
Rhododendron insigne,Catechin
Rhododendron kaempferi,Catechin
Rhododendron micranthum,Catechin
Rhododendron mucronatum,Catechin
Rhododendron oreotrephes,Catechin
