1. Aegilops tauschii,21. Hevea brasiliensis,40. Phoenix dactylifera
2. Amborella trichopoda,22. Jatropha curcas,41. Populus euphratica
3. Arachis duranensis,23. Juglans regia,42. Populus trichocarpa
4. Asparagus officinalis,24. Lotus japonicus,43. Prunus avium
5. Beta vulgaris,25. Lupinus angustifolius,44. Prunus mume
6. Brachypodium distachyon,26. Malus domestica,45. Prunus persica
7. Carica papaya,27. Manihot esculenta,46. Pyrus x
8. Chenopodium quinoa,28. Medicago truncatula,47. Quercus suber
9. Cicer arietinum,29. Musa acuminata,48. Ricinus communis
10. Citrus clementina,30. Nelumbo nucifera,49. Rosa chinensis
11. Citrus sinensis,31. Nicotiana attenuata,50. Solanum pennellii
12. Durio zibethinus,32. Nicotiana sylvestris,51. Solanum tuberosum
13. Elaeis guineensis,33. Nicotiana tabacum,52. Spinacia oleracea
14. Eucalyptus grandis,34. Nicotiana tomentosiformis,53. Theobroma cacao
15. Glycine max,35. Olea europaea,54. Vigna angularis
16. Glycine soja,36. Oryza brachyantha,55. Vigna radiata
17. Gossypium arboreum,37. Oryza sativa,56. Vigna unguiculata
18. Gossypium hirsutum,38. Papaver somniferum,57. Vitis vinifera
19. Gossypium raimondii,39. Phaseolus vulgaris,58. Ziziphus jujuba
20. Helianthus annuus, , 
