110726355,flavonoid 3'-monooxygenase-like,KO:K05280,EC:1.14.14.82,
110700687,flavonoid 3'-monooxygenase-like,KO:K05280,EC:1.14.14.82,
110695214,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110695224,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110693695,anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110719440,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110719441,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110723580,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110702273,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110702441,anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110702442,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110702443,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110730513,anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110687785,LOW QUALITY PROTEIN: anthocyanidin 3-O-glucosyltransferase-like,KO:K22772,EC:2.4.1.159,
110703425,anthocyanidin 3-O-glucosyltransferase-like,KO:K22772,EC:2.4.1.159,
110729297,anthocyanidin 3-O-glucosyltransferase-like,KO:K22772,EC:2.4.1.159,

