8080780,flavonoid 3',5'-hydroxylase 1,KO:K13083,EC:1.14.14.81,
8082602,flavonoid 3',5'-hydroxylase 1,KO:K13083,EC:1.14.14.81,
8070599,flavonoid 3'-monooxygenase,KO:K05280,EC:1.14.14.82,
8056468,flavonoid 3'-monooxygenase,KO:K05280,EC:1.14.14.82,
8070594,flavonoid 3'-monooxygenase,KO:K05280,EC:1.14.14.82,
8072541,flavonoid 3'-monooxygenase,KO:K05280,EC:1.14.14.82,
8078794,UDP-glycosyltransferase 73C3,KO:K22771,EC:2.4.1.-,
8082846,UDP-glycosyltransferase 73D1,KO:K22771,EC:2.4.1.-,
8069309,anthocyanidin 3-O-glucosyltransferase,KO:K22772,EC:2.4.1.159,
8069310,anthocyanidin 3-O-glucosyltransferase,KO:K22772,EC:2.4.1.159,
8066960,anthocyanidin 3-O-glucosyltransferase,KO:K22772,EC:2.4.1.159,

