PDB	PC	IUPAC	InChI	InChIKey	CannonSMILES	IsoSMILES	Formula	Weight	Charge	Fingerprint2D	#RotatableBonds	#HeavyAtoms	#IsotopeAtoms	#StereoAtoms	#DefStereoAtoms	#UndefStereoAtoms	#StereoBonds	#DefStereoBonds	#UndefStereoBonds	#CovalentUnits	#HBondDonors	#HBondAcceptors	CAS ID(S)	MMDBID(S)	ProtGI(S)	NTGI(S)	TaxID(S)	MIMID(S)	GeneID(S)	ProbeID(S)	Synonyms (!! Separated)	ZINC ID	ChemTik ID	CHEMBL ID	CHEBI ID	BindingDB ID	SureChEMBL ID	EPA DSSTox
142	34359	(2S)-3-(3,4-dihydroxyphenyl)-2-hydrazinyl-2-methylpropanoic acid	InChI=1S/C10H14N2O4/c1-10(12-11,9(15)16)5-6-2-3-7(13)8(14)4-6/h2-4,12-14H,5,11H2,1H3,(H,15,16)/t10-/m0/s1	TZFNLOMSOLWIDK-JTQLQIEISA-N	CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN	C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN	C10H14N2O4	226.23	0	AAADccBzOAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHgAYCAAADIyBmAAyDoBiAgCIAiDSCAACAAAgIAIYqAGGiIgLJjKCkROAcAEk0BEJmAeY2PGOIAABAAAAQABAAAIAAACAAAAAAAAAAA==	4	16	0	1	1	0	0	0	0	1	5	6	1426847-87-1,28860-95-9,38821-49-7	17673	None	None	None	None	None	None	carbidopa!!28860-95-9!!Lodosyn!!(S)-(-)-carbidopa!!Carbidopa anhydrous!!N-Aminomethyldopa!!S-(-)-Carbidopa!!(S)-carbidopa!!alpha-Methyldopahydrazine!!L-alpha-Methyldopahydrazine!!Carbidopum!!Carbidopum [INN-Latin]!!Carbidopa (anhydrous)!!Carbidopa hydrate!!Hadrazino-alpha-methyldopa!!(2S)-3-(3,4-dihydroxyphenyl)-2-hydrazinyl-2-methylpropanoic acid!!S(-)-CARBIDOPA!!L-3-(3,4-Dihydroxyphenyl)-2-methyl-2-hydrazinopropionic acid!!UNII-KR87B45RGH!!MK 486!!CCRIS 5093!!(2S)-3-(3,4-dihydroxyphenyl)-2-hydrazino-2-methylpropanoic acid!!(-)-L-alpha-Hydrazino-3,4-dihydroxy-alpha-methylhydrocinnamic acid!!38821-49-7!!EINECS 249-271-9!!KR87B45RGH!!CHEBI:39585!!28860-95-9 (anhydrous)!!alpha-Hydrazino-alpha-methyl-beta-(3,4-dihydroxyphenyl)propionic acid!!(alphaS)-alpha-hydrazino-3,4-dihydroxy-alpha-methylbenzenepropanoic acid!!L-alpha-Methyl-alpha-hydrazino-beta-(3,4-dihydroxyphenylpropionic acid!!L-alpha-Methyl-beta-(3,4-dihydroxyphenyl)-alpha-hydrazinopropionic acid!!NCGC00024596-05!!(S)-3-(3,4-dihydroxyphenyl)-2-hydrazinyl-2-methylpropanoic acid!!3,3,3-trideuterio-2-[dideuterio-(3,4-dihydroxyphenyl)methyl]-2-hydrazinylpropanoic acid!!C-DOPA!!Benzenepropanoic acid, alpha-hydrazino-3,4-dihydroxy-alpha-methyl-, (S)-!!HYDROCINNAMIC ACID, alpha-HYDRAZINO-3,4-DIHYDROXY-alpha-METHYL-, L-!!Carbidopa [INN]!!SMR000058235!!Carbidopa, (S)-Isomer!!SR-01000597655!!ND0611!!Tocris-0455!!C-126!!DSSTox_CID_2735!!DSSTox_RID_76707!!DSSTox_GSID_22735!!Lopac0_000382!!SCHEMBL35084!!MLS000069628!!MLS002207014!!Carbidopa 28860-95-9!!GTPL5159!!CHEMBL1201236!!DTXSID4022735!!AOB5343!!HMS2089B12!!HMS3266A20!!HMS3411M13!!HMS3655G20!!HMS3675M13!!HMS3713L10!!HMS3884M14!!HY-B0311!!KS-00000Y5G!!Tox21_110910!!(2S)-3-(3,4-dihydroxyphenyl)-2-hydrazino-2-methyl-propanoic acid!!BDBM50418773!!MFCD00069231!!NSC751137!!S-(-)-alpha-Hydrazino-3,4-dihydroxy-2-methylbenzenepropanoic acid!!s1891!!SBB000659!!ZINC19168887!!AKOS015969657!!AC-1676!!CCG-204476!!DB00190!!NSC-751137!!(+)-2-(3,4-Dihydroxybenzyl)-2-hydrazinopropionic acid monohydrate!!MLS-0072919!!SMP1_000057!!NCGC00024596-01!!NCGC00024596-03!!NCGC00024596-06!!NCGC00024596-07!!NCGC00024596-08!!AK326162!!AS-16862!!LS-77199!!SC-12185!!ST055523!!MLS-0072919.P013!!CAS-28860-95-9!!EU-0100382!!SW199080-2!!60C959!!M-1664!!AB00441332-05!!AB00441332-06!!AB00441332_07!!AB00441332_08!!SR-01000597655-1!!SR-01000597655-3!!SR-01000597655-5!!SR-01000597655-9!!BRD-K78712176-001-07-5!!Benzenepropanoic acid, a-hydrazino-3,4-dihydroxy-a-methyl-!!UNII-555UP07D5N component TZFNLOMSOLWIDK-JTQLQIEISA-N!!(S)-?-Hydrazino-?-methyl-?-(3,4-dihydroxyphenyl)propionic acid!!(S)-3-(3,4-Dihydroxyphenyl)-2-hydrazino-2-methylpropanoic acid!!(S)-3-(3,4-Dihydroxyphenyl)-2-hydrazino-2-methylpropionic Acid!!(2S)-3-(3,4-DIHYDROXYPHENYL)-2-HYDRAZINYL-2-METHYL-PROPANOIC ACID!!(2S)-3-(3,4-dihydroxyphenyl)-2-hydrazino-2-methylpropionic acid monohydrate!!KINSON; 3-(3,4-DIHYDROXY-PHENYL)-2-HYDRAZINO-2-METHYL-PROPIONIC ACID!!1426847-87-1	ZINC19168887	NONE	CHEMBL1201236	CHEBI:39585	BDBM50418773	SCHEMBL35084	DTXSID4022735	
431	688829	2-(4-methylphenyl)chromen-4-one	InChI=1S/C16H12O2/c1-11-6-8-12(9-7-11)16-10-14(17)13-4-2-3-5-15(13)18-16/h2-10H,1H3	OPHKKQQCOYMLPW-UHFFFAOYSA-N	CC1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2	CC1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2	C16H12O2	236.26	0	AAADccB4MAAAAAAAAAAAAAAAAAAAAAAAAAAwYIAAAAAAAACBQAAAGgAAAAAADASAmAAyBoAABACIAqBSAAACCAAkIAAIiAEGCMgMJjaENRqCOWCk4BEIqYeIyLCOQAAAAAAIAACAAAAAABAAAAAAAAAAAA==	1	18	0	0	0	0	0	0	0	1	0	2	41255-30-5	104669	None	None	None	None	None	None	2-(4-methylphenyl)-4H-chromen-4-one!!4'-Methylflavone!!2-(4-methylphenyl)chromen-4-one!!41255-30-5!!CHEMBL16861!!4H-1-Benzopyran-4-one, 2-(4-methylphenyl)-!!2-p-Tolyl-chromen-4-one!!2-p-tolyl-4H-chromen-4-one!!4'-Methylflavon!!4hlk!!Maybridge3_003060!!Oprea1_528340!!Oprea1_754899!!2-(p-tolyl)-chromen-4-one!!SCHEMBL7593917!!ZINC57876!!HMS1439L02!!BDBM50310190!!AKOS000603601!!MCULE-3669298263!!IDI1_014447!!NS-00120!!ST093690!!DB-087074!!AG-690/13115015!!Q27454365	ZINC57876	NONE	CHEMBL16861	NONE	BDBM50310190	SCHEMBL7593917	NONE	
975	82755	4-(2-hydroxyethyl)benzene-1,2-diol	InChI=1S/C8H10O3/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,9-11H,3-4H2	JUUBCHWRXWPFFH-UHFFFAOYSA-N	C1=CC(=C(C=C1CCO)O)O	C1=CC(=C(C=C1CCO)O)O	C8H10O3	154.16	0	AAADccBwMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASgmAIwBoAAAgCAAiBCAAACAAAgIAAIiAAGiIgJNiKCERKAcAEkwBEJmAeA4LQOIAABAAAAQABAAAIAAACAAAAAAAAAAA==	2	11	0	0	0	0	0	0	0	1	3	3	10597-60-1	168397,169028	None	None	10090,10116,9606,9823	None	100153927,10922,11450,11770,12606,12895,161476,1647,19013,19016,1958,24224,24248,24498,24505,24516,24787,24835,24887,25317,25402,25617,26193,26194,26195,289014,2936,29467,3383,3567,3569,3725,4318,445013,4779,497811,54315,5594,5595,5743,5862,596,5970,6119,6352,6401,6648,6773,7019,7124,7412,836,83785,993	None	Hydroxytyrosol!!10597-60-1!!3,4-Dihydroxyphenylethanol!!2-(3,4-Dihydroxyphenyl)ethanol!!4-(2-hydroxyethyl)benzene-1,2-diol!!dopet!!3-Hydroxytyrosol!!3,4-Dihydroxyphenethyl Alcohol!!1,2-Benzenediol, 4-(2-hydroxyethyl)-!!3,4-Dihydroxyphenethylalcohol!!beta-3,4-Dihydroxyphenylethyl alcohol!!2-(3,4-Dihydroxyphenyl)ethyl Alcohol!!UNII-QEU0NE4O90!!4-(2-hydroxyethyl)-1,2-Benzenediol!!QEU0NE4O90!!CHEBI:68889!!C8H10O3!!MFCD01320529!!Dopaol!!4-(2-Hydroxy-ethyl)-benzene-1,2-diol!!PubChem14271!!SCHEMBL44363!!3,4-DHPEA!!ACMC-2098i5!!CHEMBL1950045!!Ba2774!!CTK8A3779!!JUUBCHWRXWPFFH-UHFFFAOYSA-!!KS-00000YIC!!DTXSID70147451!!Ba 2774!!BCP31094!!HY-N0570!!ZINC2379217!!ANW-15291!!s3826!!3-Hydroxytyrosol, >=98% (HPLC)!!3-Hydroxytyrosol, analytical standard!!AKOS003368868!!AC-5308!!CCG-266246!!DB12771!!MCULE-8853269273!!AK-45213!!AS-10017!!P613!!SC-24732!!ST088590!!SY017402!!3,4-Dihydroxyphenylethanol; Hydroxytyrosol!!AB0078129!!DB-008830!!LS-171995!!AM20020163!!CS-0009107!!D2756!!FT-0600597!!FT-0670206!!N2302!!NS00023400!!2-(3,4-Dihydroxyphenyl)ethanol 10597-60-1!!597D601!!Q744577!!Q-100040!!BRD-K04809113-001-01-7!!3,4-Dihydroxyphenethyl Alcohol;3,4-Dihydroxyphenyl ethanol	ZINC2379217	CTK8A3779	CHEMBL1950045	CHEBI:68889	NONE	SCHEMBL44363	DTXSID70147451	
03V	8663	naphthalen-2-ol	InChI=1S/C10H8O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H	JWAZRIHNYRIHIV-UHFFFAOYSA-N	C1=CC=C2C=C(C=CC2=C1)O	C1=CC=C2C=C(C=CC2=C1)O	C10H8O	144.17	0	AAADccBwIAAAAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAADBUAAAGgAACAAADASAmAAwBsAAAgCAAiBCAAACAAAgIAAIiAAGCIgIJiKCERKAcAAkwBEImAeAwLAOoAABAAAQAABAAAIAACAAAAAAAAAAAA==	0	11	0	0	0	0	0	0	0	1	1	1	104-86-9,104863-67-4,1321-67-1,135-19-3	107274,95098	None	None	10090,10116,6239,9606,9913,9986	None	100037707,1066,11622,13078,1543,1544,1555,1571,1576,17250,190959,24208,25830,266685,282485,29859,7068,7366	None	2-NAPHTHOL!!naphthalen-2-ol!!135-19-3!!2-Naphthalenol!!beta-naphthol!!2-Hydroxynaphthalene!!Betanaphthol!!Isonaphthol!!Developer BN!!Naphthol B!!2-Naphtol!!Azogen developer A!!beta-Naphtol!!beta-Napthol!!Developer A!!Developer AMS!!beta-Hydroxynaphthalene!!2-Naftolo!!2-Naftol!!Developer sodium!!C.I. Developer 5!!beta-Naphthyl alcohol!!beta-Monoxynaphthalene!!beta-Naftol!!beta-Naftolo!!beta-Naphthyl hydroxide!!NAPHTHOL, BETA!!.beta.-Naphthol!!C.I. Azoic Coupling Component 1!!2-Naftol [Dutch]!!beta-Naftol [Dutch]!!2-Naphtol [French]!!Caswell No. 590!!2-Naftolo [Italian]!!beta-Naphtol [German]!!beta-Naftolo [Italian]!!Antioxygene BN!!2-Napththol!!UNII-P2Z71CIK5H!!.beta.-Naftolo!!.beta.-Naphtol!!.beta.-Napthol!!.beta.-Naftol!!NSC 2044!!C.I. 37500!!C10H8O!!HSDB 6812!!2-Naphthol, 98%!!.beta.-Naphthyl alcohol!!.beta.-Monoxynaphthalene!!.beta.-Hydroxynaphthalene!!EINECS 205-182-7!!MFCD00004067!!.beta.-Naphthyl hydroxide!!EPA Pesticide Chemical Code 010301!!P2Z71CIK5H!!CHEMBL14126!!AI3-00081!!CHEBI:10432!!EINECS 215-322-9!!BRN 1817321!!2-Naphthol, 99+%!!DSSTox_CID_7061!!DSSTox_RID_78296!!DSSTox_GSID_27061!!CAS-135-19-3!!Betanaphthol [NF]!!Hydronaphthol!!2-napthol!!napthalen-2-ol!!2-naphthylalcohol!!naphth-2-ol!!Naphthol AS-PTR!!Naphthol, .beta.!!03V!!2-hydroxy naphthalene!!2-Naphthol, Reagent!!Tolnaflate Impurity A!!2-Naphthol, Purified!!2-Naphthol, 99%!!Naphth-2-ol, 10!!beta.-hydroxynaphthalene!!Microcidin (Salt/Mix)!!ACMC-1CUIO!!2-Naphthol, 98.5%!!EC 205-182-7!!SCHEMBL28781!!WLN: L66J CQ!!KSC174M7N!!2-Naphthol 135-19-3!!SGCUT00131!!2-Naphthol, LR, >=98%!!DTXSID5027061!!CTK0H4676!!Naphthalen-2-ol (beta-Naphthol)!!NSC2044!!4b32!!Sodium 2-naphthoxide (Salt/Mix)!!HMS3264N15!!Pharmakon1600-01504501!!ZINC967928!!HY-Y0110!!KS-00000N6H!!NSC-2044!!to_000010!!Tox21_201884!!Tox21_303038!!ANW-75298!!BDBM50159250!!NSC758883!!s6035!!SBB040896!!STL281866!!AKOS000119842!!AM86551!!CCG-213932!!HR-0304!!MCULE-2675031485!!MP-2123!!NSC-758883!!2-Naphthol, purum, >=98.0% (GC)!!NCGC00249132-01!!NCGC00257077-01!!NCGC00259433-01!!AC-10464!!AK109022!!I980!!LS-95400!!LS-95402!!SC-18950!!2-Naphthol, BioXtra, >=99.0% (GC)!!SBI-0207084.P001!!2-Naphthol, SAJ first grade, >=98.0%!!CS-0008403!!FT-0613121!!N0027!!NS00003415!!ST50214496!!2-Naphthol, fluorescence indicator, >=99.0%!!C11713!!AB01314260_03!!3-ETHYL-5-METHYLISOXAZOLE-4-CARBOXYLICACID!!4-06-00-04208 (Beilstein Handbook Reference)!!A806896!!AB-131/40299865!!Q949232!!SR-01000872753!!Q-200736!!SR-01000872753-1!!BRD-K21164796-001-01-0!!Z57127515!!F0001-0455	ZINC967928	CTK0H4676	CHEMBL14126	CHEBI:10432	BDBM50159250	SCHEMBL28781	DTXSID5027061	
07H	53389283	[4-(2H-chromen-3-ylmethyl)piperazin-1-yl]-[3-(1H-pyrazol-5-yl)phenyl]methanone	InChI=1S/C24H24N4O2/c29-24(21-6-3-5-19(15-21)22-8-9-25-26-22)28-12-10-27(11-13-28)16-18-14-20-4-1-2-7-23(20)30-17-18/h1-9,14-15H,10-13,16-17H2,(H,25,26)	WZSVVCINTGQIRF-UHFFFAOYSA-N	C1CN(CCN1CC2=CC3=CC=CC=C3OC2)C(=O)C4=CC=CC(=C4)C5=CC=NN5	C1CN(CCN1CC2=CC3=CC=CC=C3OC2)C(=O)C4=CC=CC(=C4)C5=CC=NN5	C24H24N4O2	400.5	0	AAADceB7sAAAAAAAAAAAAAAAAAAAAWAAAAA8YIEAAAAAAACB0AAAHgAYAAAADAzhngY8hpNjBACqAzV3UACSDAAkogAYuSE+bNgMZrKE9duWvSjm3hGI6YeYyeCeAAACAAAIAAAAAAQAABAAAAAAAAAAAA==	4	30	0	0	0	0	0	0	0	1	1	4	None	94516	None	None	None	None	None	None	[4-(2h-Chromen-3-Ylmethyl)piperazin-1-Yl]-[3-(1h-Pyrazol-5-Yl)phenyl]methanone!!Q27449889	NONE	NONE	NONE	NONE	NONE	NONE	NONE	
07L	5281426	7-hydroxychromen-2-one	InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H	ORHBXUUXSCNDEV-UHFFFAOYSA-N	C1=CC(=CC2=C1C=CC(=O)O2)O	C1=CC(=CC2=C1C=CC(=O)O2)O	C9H6O3	162.14	0	AAADcYBwMAAAAAAAAAAAAAAAAAAAAAAAAAAwQAAAAAAAAACBAAAAGgAACAAADASAmAAwDoAABgCIAiDSCAACCAAgIAAIiAAGCMgMJyKGMRqCeiClwBUIuYeA4CwOIAAACAAIAABAAAAQABAAAAAAAAAAAA==	0	12	0	0	0	0	0	0	0	1	1	3	102-46-5,10472-88-5,1076-38-6,142044-47-1,32922-68-2,93-35-6	153613,153614,94353	None	None	10090,10116,9606,9823,9986	None	100301543,113992,11450,12359,13106,1548,20887,22977,25675,266685,301595,403149,4353,4780,54600,581,595,596,6817,7366,83783,8574,8644	None	Umbelliferone!!7-hydroxycoumarin!!93-35-6!!7-Hydroxy-2H-chromen-2-one!!7-hydroxycoumarine!!Hydrangin!!Skimmetin!!Hydrangine!!Skimmetine!!7-Oxycoumarin!!Umbelliferon!!2H-1-Benzopyran-2-one, 7-hydroxy-!!7-Hydroxy-2H-1-benzopyran-2-one!!beta-Umbelliferone!!7-hydroxychromen-2-one!!Coumarin, 7-hydroxy-!!7 HC!!7-hydroxy-coumarin!!NSC 19790!!UNII-60Z60NTL4G!!MFCD00006878!!CCRIS 3591!!NSC19790!!EINECS 202-240-3!!7H-1-Benzopyran-7-one, 2-hydroxy-!!BRN 0127683!!CHEMBL51628!!AI3-38054!!60Z60NTL4G!!7-HC!!7-hydroxy-1-benzopyran-2-one!!CHEBI:27510!!7-oxidanylchromen-2-one!!7-Hydroxycoumarin, 99%!!32922-68-2!!7-hydroxycumarin!!7-hydroxycoumarin, 14C-labeled!!Dichrin A!!7-hydroxycournarin!!P450 (CYP) metabolite|||Phase I metabolite of coumarin (CYP2A6)!!7-hydroxy coumarin!!beta -umbelliferone!!07L!!7-hydroxy-coumarine!!.beta.-Umbelliferone!!Umbelliferone, 99%!!PubChem10607!!7-Hydroxy-2-chromenone!!Coumarin derivative, 3a!!Spectrum2_001962!!Spectrum3_000751!!7-hydroxy-chromen-2-one!!7-hydroxycoumarin sulphate!!Umbelliferone 93-35-6!!7-Hydroxy Coumarin ,(S)!!BIDD:PXR0126!!SCHEMBL22018!!BSPBio_002362!!SPECTRUM231084!!5-18-01-00386 (Beilstein Handbook Reference)!!KSC492S2J!!MLS002207035!!BIDD:ER0671!!SPBio_002083!!MEGxp0_000814!!DTXSID5052626!!ACon1_000219!!CTK1B2071!!CTK3J2924!!KBio3_001582!!KS-00000JRX!!ZINC58111!!7-Hydroxy-2H-chromen-2-one #!!7-hydroxycoumarin (umbelliferone)!!Umbelliferone (7-Hydroxycoumarin)!!Umbelliferone, analytical standard!!HMS1607M21!!HMS2271N09!!HMS3741M03!!2-Hydroxy-7H-1-benzopyran-7-one!!ALBB-021296!!CS-D1186!!HY-N0573!!STR04824!!ANW-40027!!BBL027620!!BDBM50174558!!CCG-39436!!NSC-19790!!s3675!!STK331042!!Umbelliferone (Hydrangin, Skimmetin)!!AKOS000120867!!MCULE-5007617058!!NSC-019790!!SDCCGMLS-0066941.P001!!NCGC00095801-01!!NCGC00095801-02!!NCGC00095801-03!!NCGC00178691-01!!NCGC00178691-02!!AC-18399!!AK-26455!!BR-26455!!LS-55209!!NCI60_001646!!SC-16986!!SMR000112324!!SY001924!!AB0011194!!DB-014673!!BB 0218364!!FT-0621430!!N2282!!NS00001324!!ST50308216!!Umbelliferone, Vetec(TM) reagent grade, 98%!!1957-EP2272832A1!!A14827!!C09315!!M-2996!!U-3000!!12293-EP2272972A1!!12293-EP2272973A1!!12293-EP2277872A1!!12293-EP2298312A1!!12293-EP2316974A1!!30511-EP2284170A1!!30511-EP2311835A1!!A801734!!A844525!!Q416196!!BRD-K87991767-001-02-0!!BRD-K87991767-001-03-8!!Z57150899!!F0722-0129!!7-Hydroxycoumarin; Umbelliferone; 7-Hydroxy-2H-1-benzopyran-2-one!!Umbelliferone, suitable for fluorescence indicator, >=98.0% (HPLC)!!142044-47-1	ZINC58111	CTK1B2071,CTK3J2924	CHEMBL51628	CHEBI:27510	BDBM50174558	SCHEMBL22018	DTXSID5052626	
09H	25095215	2-(2,3-dihydro-1-benzofuran-5-yl)-N-(2-piperazin-1-ylphenyl)-1,3-thiazole-4-carboxamide	InChI=1S/C22H22N4O2S/c27-21(24-17-3-1-2-4-19(17)26-10-8-23-9-11-26)18-14-29-22(25-18)16-5-6-20-15(13-16)7-12-28-20/h1-6,13-14,23H,7-12H2,(H,24,27)	WRGSHXQBWJUKQD-UHFFFAOYSA-N	C1COC2=C1C=C(C=C2)C3=NC(=CS3)C(=O)NC4=CC=CC=C4N5CCNCC5	C1COC2=C1C=C(C=C2)C3=NC(=CS3)C(=O)NC4=CC=CC=C4N5CCNCC5	C22H22N4O2S	406.5	0	AAADceB7sABAAAAAAAAAAAAAAAAAAWJAAAA8YIAAAAAAAEgB0AAAHgQQAAAADAzl3gawx5PIFAisAyVyVACC+KBnKjgIiLW+fNgMZqLksbuWOCjk1BHo6IeQ0PIOIAACAAAIACBAAAQAABAAQAAAAAAAAA==	4	29	0	0	0	0	0	0	0	1	2	6	None	96731	None	None	None	None	None	None	CHEMBL2037017!!2-(2,3-Dihydro-1-Benzofuran-5-Yl)-N-[2-(Piperazin-1-Yl)phenyl]-1,3-Thiazole-4-Carboxamide!!SCHEMBL14206798!!BDBM50384649!!Q27449929!!09H	NONE	NONE	CHEMBL2037017	NONE	BDBM50384649	SCHEMBL14206798	NONE	
0C1	56587969	6-[(2,5-difluorophenyl)methyl]-N-methylsulfonyl-8-(2-oxo-1H-pyridin-3-yl)-2,3-dihydrofuro[2,3-e]indole-7-carboxamide	InChI=1S/C24H19F2N3O5S/c1-35(32,33)28-24(31)21-19(16-3-2-9-27-23(16)30)20-18(7-4-13-8-10-34-22(13)20)29(21)12-14-11-15(25)5-6-17(14)26/h2-7,9,11H,8,10,12H2,1H3,(H,27,30)(H,28,31)	GPKCKCQUVBOYCV-UHFFFAOYSA-N	CS(=O)(=O)NC(=O)C1=C(C2=C(N1CC3=C(C=CC(=C3)F)F)C=CC4=C2OCC4)C5=CC=CNC5=O	CS(=O)(=O)NC(=O)C1=C(C2=C(N1CC3=C(C=CC(=C3)F)F)C=CC4=C2OCC4)C5=CC=CNC5=O	C24H19F2N3O5S	499.5	0	AAADceB7OYBAAAAAAAAAAAAAAAAAAWJAAAAwYIAAAAAAAFgB9AAAHwQQQAAADAzhng6yxvPMFAKoAyV2VHCCiCAnIiAI2KG8bNgMZvLEtbuWOSjmwhnI6Ye83/PeiAACAgAKAAAQAAQEABQAAAAAAAAAAA==	5	35	0	0	0	0	0	0	0	1	2	7	None	96759	None	None	None	None	None	None	6-(2,5-Difluorobenzyl)-N-(Methylsulfonyl)-8-(2-Oxo-1,2-Dihydropyridin-3-Yl)-3,6-Dihydro-2h-Furo[2,3-E]indole-7-Carboxamide!!SCHEMBL12343962!!Q27451002!!0C1!!6-[(2,5-difluorophenyl)methyl]-N-methylsulfonyl-8-(2-oxo-1H-pyridin-3-yl)-2,3-dihydrofuro[2,3-e]indole-7-carboxamide	NONE	NONE	NONE	NONE	NONE	SCHEMBL12343962	NONE	
0C2	49774199	(3S)-6-[(2,5-difluorophenyl)methyl]-3-methyl-N-methylsulfonyl-8-(2-oxo-1H-pyridin-3-yl)-2,3-dihydrofuro[2,3-e]indole-7-carboxamide	InChI=1S/C25H21F2N3O5S/c1-13-12-35-23-16(13)6-8-19-21(23)20(17-4-3-9-28-24(17)31)22(25(32)29-36(2,33)34)30(19)11-14-10-15(26)5-7-18(14)27/h3-10,13H,11-12H2,1-2H3,(H,28,31)(H,29,32)/t13-/m1/s1	LVGCEDOTDJKOGS-CYBMUJFWSA-N	CC1COC2=C1C=CC3=C2C(=C(N3CC4=C(C=CC(=C4)F)F)C(=O)NS(=O)(=O)C)C5=CC=CNC5=O	C[C@@H]1COC2=C1C=CC3=C2C(=C(N3CC4=C(C=CC(=C4)F)F)C(=O)NS(=O)(=O)C)C5=CC=CNC5=O	C25H21F2N3O5S	513.5	0	AAADceB7OYBAAAAAAAAAAAAAAAAAAWJAAAAwYIAAAAAAAFgB9AAAHwQQQAAADQzhng6yxvPMFAKoAyV2VHCCiCAnIiAI2KG8bNgMZvLEtbuWOSjmwhnI6Ye83/PeiAACAgAKAAAQAAQEABQAAAAAAAAAAA==	5	36	0	1	1	0	0	0	0	1	2	7	None	96760	None	None	None	None	None	None	(3s)-6-(2,5-Difluorobenzyl)-3-Methyl-N-(Methylsulfonyl)-8-(2-Oxo-1,2-Dihydropyridin-3-Yl)-3,6-Dihydro-2h-Furo[2,3-E]indole-7-Carboxamide!!SCHEMBL13395228!!Q27450998!!(3S)-6-[(2,5-difluorophenyl)methyl]-3-methyl-N-methylsulfonyl-8-(2-oxo-1H-pyridin-3-yl)-2,3-dihydrofuro[2,3-e]indole-7-carboxamide!!0C2!!N-(Methylsulfonyl)-3beta-methyl-6-(2,5-difluorobenzyl)-8-(1,2-dihydro-2-oxopyridine-3-yl)-3,6-dihydro-2H-1-oxa-6-aza-as-indacene-7-carboxamide	NONE	NONE	NONE	NONE	NONE	SCHEMBL13395228	NONE	
0EA	124930	(2S,3R)-3-(3,4-dihydroxyphenyl)-3-hydroxy-2-(methylamino)propanoic acid	InChI=1S/C10H13NO5/c1-11-8(10(15)16)9(14)5-2-3-6(12)7(13)4-5/h2-4,8-9,11-14H,1H3,(H,15,16)/t8-,9+/m0/s1	RPXZFIAFSLMEJW-DTWKUNHWSA-N	CNC(C(C1=CC(=C(C=C1)O)O)O)C(=O)O	CN[C@@H]([C@@H](C1=CC(=C(C=C1)O)O)O)C(=O)O	C10H13NO5	227.21	0	AAADccByOAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHgAQCAAADDzhmAYyDoLAAgCIAiDSCAACAAAgIAAIiIGOiIgLNjaCkTOEcAEl8BEZmAfY+LeOIAABAAAAQABAAAIAAACAAAAAAAAAAA==	4	16	0	2	2	0	0	0	0	1	5	6	92843-37-3,98736-48-2	None	None	None	None	None	None	None	(betaR)-beta,3-dihydroxy-N-methyl-L-tyrosine!!92843-37-3!!3-Adca!!SCHEMBL10039785!!DTXSID60918930!!beta,3-Dihydroxy-N-methyltyrosine!!(2S,3R)-3-(3,4-dihydroxyphenyl)-3-hydroxy-2-(methylamino)propanoic acid!!3-(3,4-Dihydroxyphenyl)-N-methylserine!!Q27451038	NONE	NONE	NONE	NONE	NONE	SCHEMBL10039785	DTXSID60918930	
