Daucus carota, 108212629, chalcone synthase 9-like  [EC], ['EC:2.3.1.74'], KO:K00660
Daucus carota, 108215973, LOW QUALITY PROTEIN: chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Daucus carota, 108220478, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Daucus carota, 108223087, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Daucus carota, 108222896, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Daucus carota, 108222897, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Daucus carota, 108222898, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Daucus carota, 108196721, chalcone synthase 2-like isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Daucus carota, 108200622, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Daucus carota, 108202862, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Daucus carota, 108193697, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Daucus carota, 108220831, probable chalcone--flavonone isomerase 3 isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Daucus carota, 108197475, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Daucus carota, 108211971, flavone synthase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Daucus carota, 108213382, flavanone 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Daucus carota, 108213383, flavone synthase  [EC], ['EC:1.14.20.5'], KO:K13077
Daucus carota, 108213380, flavone synthase-like isoform X1  [EC], ['EC:1.14.20.5'], KO:K13077
Daucus carota, 108221899, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Daucus carota, 108203535, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Daucus carota, 108197548, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Daucus carota, 108223289, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Daucus carota, 108216209, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Daucus carota, 108220625, dihydroflavonol-4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Daucus carota, 108216819, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Daucus carota, 108222116, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like isoform X1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Daucus carota, 108224780, dihydroflavonol-4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Daucus carota, 108224331, dihydroflavonol-4-reductase-like isoform X1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Daucus carota, 108222765, dihydroflavonol-4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Daucus carota, 108222766, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like isoform X1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Daucus carota, 108209615, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Daucus carota, 108207861, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108215123, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108213247, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108213352, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108212606, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108213436, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108220879, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108223132, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108223171, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108222183, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108196494, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108193353, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108194611, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108196831, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108193594, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108198118, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108209804, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Daucus carota, 108227431, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Daucus carota, 108207577, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Daucus carota, 108213052, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Daucus carota, 108213053, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Daucus carota, 108213057, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Daucus carota, 108220774, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Daucus carota, 108200606, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Daucus carota, 108202076, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Daucus carota, 108201484, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
