Cynara cardunculus var. scolymus, 112509926, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Cynara cardunculus var. scolymus, 112510064, chalcone synthase 2 isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Cynara cardunculus var. scolymus, 112518894, 2-pyrone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cynara cardunculus var. scolymus, 112518895, 2-pyrone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cynara cardunculus var. scolymus, 112512134, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Cynara cardunculus var. scolymus, 112517352, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cynara cardunculus var. scolymus, 112509535, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Cynara cardunculus var. scolymus, 112508909, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Cynara cardunculus var. scolymus, 112525561, probable chalcone--flavonone isomerase 3 isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Cynara cardunculus var. scolymus, 112512382, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Cynara cardunculus var. scolymus, 112515207, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Cynara cardunculus var. scolymus, 112515212, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Cynara cardunculus var. scolymus, 112506479, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cynara cardunculus var. scolymus, 112517960, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cynara cardunculus var. scolymus, 112518085, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Cynara cardunculus var. scolymus, 112514430, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Cynara cardunculus var. scolymus, 112508614, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Cynara cardunculus var. scolymus, 112500337, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Cynara cardunculus var. scolymus, 112510222, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112509295, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112501602, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112504064, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112505863, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112505864, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112506624, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112514859, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112516970, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112517241, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112529806, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112514594, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112504027, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Cynara cardunculus var. scolymus, 112512472, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Cynara cardunculus var. scolymus, 112500202, caffeoyl-CoA O-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Cynara cardunculus var. scolymus, 112500219, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cynara cardunculus var. scolymus, 112512135, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cynara cardunculus var. scolymus, 112516496, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Cynara cardunculus var. scolymus, 112512166, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cynara cardunculus var. scolymus, 112510259, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
