Lupinus angustifolius, 109328047, phenylalanine ammonia-lyase class 3-like  [EC], ['EC:4.3.1.24'], KO:K10775
Lupinus angustifolius, 109353417, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Lupinus angustifolius, 109356621, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Lupinus angustifolius, 109347601, phenylalanine ammonia-lyase class 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Lupinus angustifolius, 109331561, phenylalanine ammonia-lyase class 2  [EC], ['EC:4.3.1.24'], KO:K10775
Lupinus angustifolius, 109325320, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Lupinus angustifolius, 109348378, phenylalanine ammonia-lyase class 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Lupinus angustifolius, 109339369, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Lupinus angustifolius, 109354385, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Lupinus angustifolius, 109330369, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Lupinus angustifolius, 109355308, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Lupinus angustifolius, 109348566, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Lupinus angustifolius, 109335030, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Lupinus angustifolius, 109355450, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Lupinus angustifolius, 109331675, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Lupinus angustifolius, 109351400, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Lupinus angustifolius, 109351401, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Lupinus angustifolius, 109350308, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Lupinus angustifolius, 109346995, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Lupinus angustifolius, 109346999, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Lupinus angustifolius, 109362706, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Lupinus angustifolius, 109342759, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Lupinus angustifolius, 109328510, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Lupinus angustifolius, 109355753, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Lupinus angustifolius, 109357170, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Lupinus angustifolius, 109353916, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Lupinus angustifolius, 109338515, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Lupinus angustifolius, 109325045, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Lupinus angustifolius, 109344144, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Lupinus angustifolius, 109343936, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Lupinus angustifolius, 109326958, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Lupinus angustifolius, 109345924, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Lupinus angustifolius, 109354605, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Lupinus angustifolius, 109362232, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Lupinus angustifolius, 109336488, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Lupinus angustifolius, 109329627, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Lupinus angustifolius, 109337582, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Lupinus angustifolius, 109349452, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Lupinus angustifolius, 109331005, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Lupinus angustifolius, 109330600, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Lupinus angustifolius, 109330469, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Lupinus angustifolius, 109330650, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Lupinus angustifolius, 109349590, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
