Prunus avium, 110758924, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Prunus avium, 110747066, polyketide synthase 5  [EC], ['EC:2.3.1.74'], KO:K00660
Prunus avium, 110745765, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Prunus avium, 110756675, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Prunus avium, 110758277, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Prunus avium, 110753589, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Prunus avium, 110753698, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Prunus avium, 110754141, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Prunus avium, 110750787, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Prunus avium, 110766184, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Prunus avium, 110762285, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Prunus avium, 110753332, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Prunus avium, 110771557, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Prunus avium, 110747768, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Prunus avium, 110768767, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Prunus avium, 110754077, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Prunus avium, 110744276, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Prunus avium, 110767054, LOW QUALITY PROTEIN: UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Prunus avium, 110772231, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
