Ricinus communis, 8273082, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Ricinus communis, 8265625, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Ricinus communis, 8270959, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Ricinus communis, 8264259, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Ricinus communis, 8259554, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Ricinus communis, 8268714, flavanone 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Ricinus communis, 8274087, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Ricinus communis, 8274085, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Ricinus communis, 8275129, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Ricinus communis, 8282005, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Ricinus communis, 8261059, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Ricinus communis, 8286099, licodione synthase  [EC], ['EC:1.14.19.76'], KO:K23179
Ricinus communis, 8286101, licodione synthase  [EC], ['EC:1.14.19.76'], KO:K23179
Ricinus communis, 8284440, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Ricinus communis, 8288959, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Ricinus communis, 8272490, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Ricinus communis, 8267420, anthocyanidin reductase ((2S)-flavan-3-ol-forming) isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Ricinus communis, 8269513, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Ricinus communis, 8283251, UDP-glycosyltransferase 88F3 isoform X2  [EC], ['EC:2.4.1.357'], KO:K22845
Ricinus communis, 8280259, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8266356, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8266358, salutaridinol 7-O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8278440, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8274229, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8273365, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8264850, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8266727, putrescine hydroxycinnamoyltransferase 3  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8266728, agmatine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8260126, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8261723, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8267026, agmatine coumaroyltransferase-2  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8264821, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8264849, LOW QUALITY PROTEIN: shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 112537007, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ricinus communis, 8277880, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Ricinus communis, 8277408, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Ricinus communis, 8277879, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Ricinus communis, 8288340, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Ricinus communis, 8272283, caffeoyl-CoA O-methyltransferase isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Ricinus communis, 8265095, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ricinus communis, 8265096, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ricinus communis, 8289466, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ricinus communis, 8289465, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Ricinus communis, 8289464, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
