Lotus japonicus, Lj0g3v0121549.1, Lj0g3v0121549.1; -  [EC], ['EC:4.3.1.24'], KO:K10775
Lotus japonicus, Lj2g3v3339740.1, Lj2g3v3339740.1; -  [EC], ['EC:4.3.1.24'], KO:K10775
Lotus japonicus, Lj0g3v0350889.1, Lj0g3v0350889.1; -  [EC], ['EC:4.3.1.24'], KO:K10775
Lotus japonicus, Lj1g3v4590760.1, Lj1g3v4590760.1; -  [EC], ['EC:4.3.1.24'], KO:K10775
Lotus japonicus, Lj1g3v4590760.2, Lj1g3v4590760.2; -  [EC], ['EC:4.3.1.24'], KO:K10775
Lotus japonicus, Lj1g3v4590760.3, Lj1g3v4590760.3; -  [EC], ['EC:4.3.1.24'], KO:K10775
Lotus japonicus, Lj1g3v4590770.1, Lj1g3v4590770.1; -  [EC], ['EC:4.3.1.24'], KO:K10775
Lotus japonicus, Lj1g3v4590840.1, Lj1g3v4590840.1; -  [EC], ['EC:4.3.1.24'], KO:K10775
Lotus japonicus, Lj1g3v4590850.1, Lj1g3v4590850.1; -  [EC], ['EC:4.3.1.24'], KO:K10775
Lotus japonicus, Lj1g3v4590850.2, Lj1g3v4590850.2; -  [EC], ['EC:4.3.1.24'], KO:K10775
Lotus japonicus, Lj3g3v0602620.1, Lj3g3v0602620.1; -  [EC], ['EC:4.3.1.24'], KO:K10775
Lotus japonicus, Lj3g3v0602630.1, Lj3g3v0602630.1; -  [EC], ['EC:4.3.1.24'], KO:K10775
Lotus japonicus, Lj3g3v0602630.2, Lj3g3v0602630.2; -  [EC], ['EC:4.3.1.24'], KO:K10775
Lotus japonicus, Lj5g3v1811400.1, Lj5g3v1811400.1; -  [EC], ['EC:4.3.1.24'], KO:K10775
Lotus japonicus, Lj5g3v0659760.1, Lj5g3v0659760.1; -  [EC], ['EC:4.3.1.24'], KO:K10775
Lotus japonicus, Lj0g3v0343649.1, Lj0g3v0343649.1; -  [EC], ['EC:1.14.14.91'], KO:K00487
Lotus japonicus, Lj0g3v0153609.1, Lj0g3v0153609.1; -  [EC], ['EC:1.14.14.91'], KO:K00487
Lotus japonicus, Lj5g3v2166250.1, Lj5g3v2166250.1; -  [EC], ['EC:1.14.14.91'], KO:K00487
Lotus japonicus, Lj5g3v2216160.1, Lj5g3v2216160.1; -  [EC], ['EC:1.14.14.91'], KO:K00487
Lotus japonicus, Lj6g3v0351660.1, Lj6g3v0351660.1; -  [EC], ['EC:1.14.14.91'], KO:K00487
Lotus japonicus, Lj1g3v0129860.1, Lj1g3v0129860.1; -  [EC], ['EC:6.2.1.12'], KO:K01904
Lotus japonicus, Lj2g3v1536270.1, Lj2g3v1536270.1; -  [EC], ['EC:6.2.1.12'], KO:K01904
Lotus japonicus, Lj2g3v2125730.1, Lj2g3v2125730.1; -  [EC], ['EC:6.2.1.12'], KO:K01904
Lotus japonicus, Lj3g3v1113010.1, Lj3g3v1113010.1; -  [EC], ['EC:6.2.1.12'], KO:K01904
Lotus japonicus, Lj3g3v3056700.1, Lj3g3v3056700.1; -  [EC], ['EC:6.2.1.12'], KO:K01904
