Arachis ipaensis, 107617800, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis ipaensis, 107648626, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis ipaensis, 107626489, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis ipaensis, 107608851, phenylalanine ammonia-lyase class 3  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis ipaensis, 107616560, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis ipaensis, 107608857, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis ipaensis, 107635198, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis ipaensis, 107642252, 4-coumarate--CoA ligase 2 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis ipaensis, 107642381, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis ipaensis, 107638370, 4-coumarate--CoA ligase 1 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis ipaensis, 107616407, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis ipaensis, 107632460, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis ipaensis, 107632457, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis ipaensis, 107632209, 4-coumarate--CoA ligase 2-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis ipaensis, 107629260, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis ipaensis, 107643184, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis ipaensis, 107642241, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis ipaensis, 107613973, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis ipaensis, 107617937, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107604919, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107627465, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107627468, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107604982, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107604983, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107604985, spermidine hydroxycinnamoyl transferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107629379, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107644361, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107615711, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107625594, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107624281, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107624423, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107604697, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
