Cynara cardunculus var. scolymus, 112508463, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cynara cardunculus var. scolymus, 112511516, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cynara cardunculus var. scolymus, 112521561, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Cynara cardunculus var. scolymus, 112521371, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cynara cardunculus var. scolymus, 112512533, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cynara cardunculus var. scolymus, 112506479, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cynara cardunculus var. scolymus, 112517960, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cynara cardunculus var. scolymus, 112508847, 4-coumarate--CoA ligase 1-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Cynara cardunculus var. scolymus, 112502163, 4-coumarate--CoA ligase 2 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Cynara cardunculus var. scolymus, 112522000, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Cynara cardunculus var. scolymus, 112522231, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Cynara cardunculus var. scolymus, 112529868, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Cynara cardunculus var. scolymus, 112514294, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cynara cardunculus var. scolymus, 112519731, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Cynara cardunculus var. scolymus, 112525891, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Cynara cardunculus var. scolymus, 112508768, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Cynara cardunculus var. scolymus, 112510222, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112509295, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
