Arachis duranensis, 107467923, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis duranensis, 107476298, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis duranensis, 107461690, phenylalanine ammonia-lyase class 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis duranensis, 107496075, phenylalanine ammonia-lyase class 3  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis duranensis, 107493496, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis duranensis, 107458104, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis duranensis, 107467573, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis duranensis, 107474042, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis duranensis, 107459975, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis duranensis, 107459985, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis duranensis, 107461745, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis duranensis, 107477353, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis duranensis, 107477352, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis duranensis, 107477420, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis duranensis, 107487138, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis duranensis, 107488461, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis duranensis, 107482502, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis duranensis, 107476481, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis duranensis, 107463606, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis duranensis, 107461280, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107463770, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107464487, spermidine hydroxycinnamoyl transferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107468945, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107474816, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107475054, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107478904, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107494459, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107494461, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107494473, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107494576, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107494128, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Arachis duranensis, 107492479, caffeoylshikimate esterase isoform X2  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis duranensis, 107496433, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
