Elaeis guineensis, 105033424, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Elaeis guineensis, 105035781, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Elaeis guineensis, 105041875, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Elaeis guineensis, 105054501, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Elaeis guineensis, 105055673, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Elaeis guineensis, 105045995, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Elaeis guineensis, 105044830, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Elaeis guineensis, 105052309, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Elaeis guineensis, 105057212, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Elaeis guineensis, 105050451, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Elaeis guineensis, 105049276, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Elaeis guineensis, 105039259, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Elaeis guineensis, 105042958, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Elaeis guineensis, 105039619, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Elaeis guineensis, 105049351, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Elaeis guineensis, 105044100, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Elaeis guineensis, 105053813, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Elaeis guineensis, 105050370, 4-coumarate--CoA ligase 2-like isoform X2  [EC], ['EC:6.2.1.12'], KO:K01904
Elaeis guineensis, 105048835, 4-coumarate--CoA ligase-like 5 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Elaeis guineensis, 105034344, salutaridinol 7-O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105037568, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105037012, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105037184, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105060153, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105060154, hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105053765, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105045448, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105032801, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105033349, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Elaeis guineensis, 105052441, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Elaeis guineensis, 105035687, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Elaeis guineensis, 105047856, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Elaeis guineensis, 105045187, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Elaeis guineensis, 105045749, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Elaeis guineensis, 105034149, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Elaeis guineensis, 105041212, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Elaeis guineensis, 105034148, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Elaeis guineensis, 105050332, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Elaeis guineensis, 105032439, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Elaeis guineensis, 105051169, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
