Cucumis sativus, 101218144, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis sativus, 101205510, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis sativus, 101218156, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis sativus, 101218382, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis sativus, 101222092, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis sativus, 101217907, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis sativus, 101203846, PAL; phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis sativus, 101218617, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis sativus, 101219091, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis sativus, 116401606, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis sativus, 101206890, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis sativus, 101218856, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis sativus, 101204574, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis sativus, 101205775, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis sativus, 101205537, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis sativus, 101204747, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis sativus, 101221846, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis sativus, 105434566, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis sativus, 101208511, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis sativus, 101215427, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis sativus, 101220141, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis sativus, 101220731, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis sativus, 101221344, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis sativus, 101210868, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis sativus, 101218121, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis sativus, 101218595, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis sativus, 101218361, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis sativus, 101218077, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis sativus, 101219578, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis sativus, 101204417, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis sativus, 101211791, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis sativus, 105434971, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Cucumis sativus, 101214857, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101218593, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101207639, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101206618, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101207100, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101222983, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101202947, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101214439, BAHD acyltransferase BIA1  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 105435341, salutaridinol 7-O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101223215, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis sativus, 101217257, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Cucumis sativus, 101215782, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cucumis sativus, 101214595, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cucumis sativus, 101204152, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cucumis sativus, 101208763, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cucumis sativus, 101215754, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Cucumis sativus, 101222469, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cucumis sativus, 101205648, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Cucumis sativus, 101212121, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Cucumis sativus, 101213412, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Cucumis sativus, 101218838, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Cucumis sativus, 101219069, cinnamoyl-CoA reductase 2 isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Cucumis sativus, 116401652, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucumis sativus, 116401668, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucumis sativus, 101219029, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Cucumis sativus, 101217850, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Cucumis sativus, 101205783, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Cucumis sativus, 101204109, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucumis sativus, 101214675, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucumis sativus, 101205290, LOW QUALITY PROTEIN: caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucumis sativus, 101214916, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucumis sativus, 101211438, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Cucumis sativus, 101206562, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Cucumis sativus, 101222395, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Cucumis sativus, 101205228, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Cucumis sativus, 101213170, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Cucumis sativus, 101209414, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Cucumis sativus, 101208856, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Cucumis sativus, 101203261, 1-Cys peroxiredoxin A  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Cucumis sativus, 101213178, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101216263, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101214168, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101208042, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101220163, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101210173, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101221881, LOW QUALITY PROTEIN: peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101208254, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101214998, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101221157, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101218982, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101219829, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101212717, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101217781, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101211752, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101211507, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101217743, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101211257, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101202852, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101211842, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101216139, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101215339, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101215736, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101221831, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101212230, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101202985, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101216464, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101216219, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101215978, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 105436278, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101212957, PEROXIDASE; peroxidase 2-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101211989, peroxidase 2-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101217567, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101214403, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101209504, peroxidase 10 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101213098, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101213343, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101211442, LOW QUALITY PROTEIN: peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101213580, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101223204, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101213629, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101210306, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
