Populus euphratica, 105137114, phenylalanine ammonia-lyase G2B  [EC], ['EC:4.3.1.24'], KO:K10775
Populus euphratica, 105137115, phenylalanine ammonia-lyase G2B-like isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Populus euphratica, 105130758, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Populus euphratica, 105142552, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Populus euphratica, 105115311, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Populus euphratica, 105123239, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Populus euphratica, 105120907, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Populus euphratica, 105137660, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Populus euphratica, 105118872, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Populus euphratica, 105139299, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Populus euphratica, 105113098, 4-coumarate--CoA ligase 2 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Populus euphratica, 105123360, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Populus euphratica, 105110926, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Populus euphratica, 105120323, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Populus euphratica, 105109211, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Populus euphratica, 105122873, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Populus euphratica, 105128215, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Populus euphratica, 105132690, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Populus euphratica, 105139450, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Populus euphratica, 105132658, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105134821, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105138032, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105138033, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105113952, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105121160, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
