Brachypodium distachyon, 100845653, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Brachypodium distachyon, 100840340, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Brachypodium distachyon, 100829928, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Brachypodium distachyon, 100841454, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Brachypodium distachyon, 100843583, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Brachypodium distachyon, 100844192, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Brachypodium distachyon, 100841149, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Brachypodium distachyon, 100839236, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.25'], KO:K13064
Brachypodium distachyon, 100833073, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brachypodium distachyon, 100839986, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brachypodium distachyon, 100832881, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Brachypodium distachyon, 100821663, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Brachypodium distachyon, 100842862, probable 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Brachypodium distachyon, 100845934, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Brachypodium distachyon, 100836460, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Brachypodium distachyon, 100826883, probable 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Brachypodium distachyon, 100842528, probable 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Brachypodium distachyon, 100845913, probable 4-coumarate--CoA ligase 5  [EC], ['EC:6.2.1.12'], KO:K01904
Brachypodium distachyon, 100842361, 4-coumarate--CoA ligase-like 3 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Brachypodium distachyon, 100846491, 4-coumarate--CoA ligase-like 5  [EC], ['EC:6.2.1.12'], KO:K01904
Brachypodium distachyon, 100822405, tryptamine benzoyltransferase 2  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100822605, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100824165, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100835822, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100845790, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100831871, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100843305, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100821365, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100845484, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100835513, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 112268498, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100835531, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Brachypodium distachyon, 100828583, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brachypodium distachyon, 100831076, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Brachypodium distachyon, 100842565, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Brachypodium distachyon, 100846206, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brachypodium distachyon, 100843210, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Brachypodium distachyon, 100821481, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Brachypodium distachyon, 100834223, tricin synthase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Brachypodium distachyon, 100834523, tricin synthase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Brachypodium distachyon, 100822439, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Brachypodium distachyon, 100823680, cinnamoyl-CoA reductase 1 isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Brachypodium distachyon, 100840321, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Brachypodium distachyon, 100823534, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Brachypodium distachyon, 100831271, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Brachypodium distachyon, 100832790, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
