Malus domestica, 103430265, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Malus domestica, 103419282, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Malus domestica, 103450046, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Malus domestica, 103440652, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Malus domestica, 103418731, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Malus domestica, 103427139, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Malus domestica, 103447265, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Malus domestica, 103418775, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Malus domestica, 103444452, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Malus domestica, 103452424, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Malus domestica, 103447296, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Malus domestica, 114820472, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Malus domestica, 103426517, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Malus domestica, 103427406, 4-coumarate--CoA ligase 1-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Malus domestica, 103440010, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Malus domestica, 103455025, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Malus domestica, 103435659, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103405591, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103413727, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103411531, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103423814, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103423883, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103426747, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103445837, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103445775, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103443992, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103444038, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103452082, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103452083, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103452118, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103452404, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103414464, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103431869, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103403337, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103408600, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 114824582, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Malus domestica, 103452080, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
