Nicotiana sylvestris, 104218178, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Nicotiana sylvestris, 104241192, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Nicotiana sylvestris, 104212402, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Nicotiana sylvestris, 104230518, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Nicotiana sylvestris, 104217798, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana sylvestris, 104228366, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana sylvestris, 104244410, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana sylvestris, 104236316, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana sylvestris, 104243229, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana sylvestris, 104244401, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana sylvestris, 104244535, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana sylvestris, 104245015, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana sylvestris, 104234871, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana sylvestris, 104210285, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana sylvestris, 104219753, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana sylvestris, 104237912, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana sylvestris, 104246474, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104237663, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104244757, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104238103, deacetylvindoline O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104237067, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104229805, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104220132, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104228407, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104221431, deacetylvindoline O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104223692, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104235054, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104219383, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104219386, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104225026, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104229643, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104210482, deacetylvindoline O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104231036, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104211740, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104212932, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104217433, deacetylvindoline O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104232003, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104232368, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104221515, cytochrome P450 98A2-like isoform X1  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana sylvestris, 104235549, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana sylvestris, 104216569, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana sylvestris, 104228627, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana sylvestris, 104210930, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Nicotiana sylvestris, 104225114, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Nicotiana sylvestris, 104226620, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Nicotiana sylvestris, 104234357, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Nicotiana sylvestris, 104248612, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Nicotiana sylvestris, 104226583, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104234352, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104229202, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104229437, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104216099, caffeoyl-CoA O-methyltransferase 3-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104212732, caffeoyl-CoA O-methyltransferase 6  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104232565, caffeoyl-CoA O-methyltransferase 4 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104232566, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104241444, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104214415, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Nicotiana sylvestris, 104211097, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Nicotiana sylvestris, 104248982, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Nicotiana sylvestris, 104237469, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Nicotiana sylvestris, 104215725, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Nicotiana sylvestris, 104210365, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nicotiana sylvestris, 104247907, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nicotiana sylvestris, 104247909, 3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nicotiana sylvestris, 104220105, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nicotiana sylvestris, 104220510, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nicotiana sylvestris, 104232532, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nicotiana sylvestris, 104213493, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nicotiana sylvestris, 104235402, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Nicotiana sylvestris, 104227952, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Nicotiana sylvestris, 104247225, probable cinnamyl alcohol dehydrogenase 2  [EC], ['EC:1.1.1.195'], KO:K00083
Nicotiana sylvestris, 104218743, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Nicotiana sylvestris, 104225458, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Nicotiana sylvestris, 104223677, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Nicotiana sylvestris, 104229604, reticuline oxidase-like protein  [EC], ['EC:1.1.1.195'], KO:K22395
Nicotiana sylvestris, 104238527, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Nicotiana sylvestris, 104243497, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Nicotiana sylvestris, 104213523, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Nicotiana sylvestris, 104228323, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104228666, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104228669, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104215680, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104215718, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104227772, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104227773, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104248398, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104226978, peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104214989, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104225170, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104233656, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104217681, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104210110, suberization-associated anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104210111, suberization-associated anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104215797, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104230584, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104235109, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104235142, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104239565, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
