Arachis duranensis, 107480757, 2-hydroxyisoflavanone synthase isoform X1  [EC], ['EC:1.14.14.87'], KO:K13257
Arachis duranensis, 107480672, 2-hydroxyisoflavanone synthase  [EC], ['EC:1.14.14.87'], KO:K13257
Arachis duranensis, 107480758, isoflavone 4'-O-methyltransferase  [EC], ['EC:2.1.1.212', 'EC:2.1.1.46'], KO:K13259
Arachis duranensis, 107483700, isoflavone 3'-hydroxylase  [EC], ['EC:1.14.14.88'], KO:K22932
Arachis duranensis, 107482085, isoflavone 3'-hydroxylase-like  [EC], ['EC:1.14.14.88'], KO:K22932
Arachis duranensis, 107487703, cytochrome P450 81E8  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Arachis duranensis, 107482081, isoflavone 2'-hydroxylase  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Arachis duranensis, 107480513, cytochrome P450 81E8  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Arachis duranensis, 107487739, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Arachis duranensis, 107483699, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Arachis duranensis, 107487681, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Arachis duranensis, 107487702, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Arachis duranensis, 107486360, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis duranensis, 107486555, isoflavone-7-O-methyltransferase 9-like  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis duranensis, 107486358, isoflavone-7-O-methyltransferase 6-like  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis duranensis, 107463257, isoflavone-7-O-methyltransferase 6  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis duranensis, 107464082, isoflavone 7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis duranensis, 107486238, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis duranensis, 107489657, isoflavone-7-O-methyltransferase 9  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis duranensis, 107486622, isoflavone 7-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis duranensis, 107486623, isoflavone 7-O-methyltransferase isoform X2  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis duranensis, 107486645, isoflavone 7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis duranensis, 107486439, isoflavone-7-O-methyltransferase 6 isoform X6  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis duranensis, 107486373, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis duranensis, 107472037, vestitone reductase  [EC], ['EC:1.1.1.348'], KO:K13265
Arachis duranensis, 107463001, cytochrome P450 71D9  [EC], ['EC:1.14.13.-'], KO:K13267
Arachis duranensis, 107477091, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
