Papaver somniferum, 113328160, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Papaver somniferum, 113294591, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Papaver somniferum, 113310719, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Papaver somniferum, 113298633, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Papaver somniferum, 113338846, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Papaver somniferum, 113310130, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Papaver somniferum, 113322609, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Papaver somniferum, 113310740, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Papaver somniferum, 113320805, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Papaver somniferum, 113322461, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Papaver somniferum, 113344441, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Papaver somniferum, 113276897, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Papaver somniferum, 113339745, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Papaver somniferum, 113319058, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Papaver somniferum, 113320502, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Papaver somniferum, 113342567, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Papaver somniferum, 113298660, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Papaver somniferum, 113310170, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Papaver somniferum, 113310171, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Papaver somniferum, 113277777, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Papaver somniferum, 113337745, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Papaver somniferum, 113310713, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Papaver somniferum, 113328656, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113328720, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113272562, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113278599, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113278601, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113329080, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113286848, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113339257, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113339443, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113339791, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113290492, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113329805, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113329834, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113329837, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113285437, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113285438, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113287013, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113295099, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113317937, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113278961, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113278963, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113291748, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113293955, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113323848, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113343787, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113343868, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113343871, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113343874, putrescine hydroxycinnamoyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113343875, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113343880, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113343922, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113344094, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113282563, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113301872, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113339843, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113274602, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280362, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113326230, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280397, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113290913, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113326985, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113273211, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113326378, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113340336, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113272205, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113272218, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280602, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280603, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
