Vigna radiata, 106774548, flavonoid 3',5'-hydroxylase 2  [EC], ['EC:1.14.14.81'], KO:K13083
Vigna radiata, 106775588, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Vigna radiata, 106756729, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Vigna radiata, 106766418, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Vigna radiata, 106755140, UDP-glycosyltransferase 79B30  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Vigna radiata, 106780203, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Vigna radiata, 106779200, UDP-glycosyltransferase 79B30  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Vigna radiata, 106778549, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Vigna radiata, 106778553, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Vigna radiata, 106778555, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Vigna radiata, 106778578, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Vigna radiata, 106769849, UDP-glycosyltransferase 79A6  [EC], ['EC:2.4.1.159'], KO:K22772
