Ziziphus jujuba, 107428003, LOW QUALITY PROTEIN: chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Ziziphus jujuba, 107422581, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Ziziphus jujuba, 107422582, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Ziziphus jujuba, 107422583, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Ziziphus jujuba, 107422595, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Ziziphus jujuba, 107427575, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Ziziphus jujuba, 107427576, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Ziziphus jujuba, 107413997, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Ziziphus jujuba, 107413577, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Ziziphus jujuba, 107413585, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Ziziphus jujuba, 107424368, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Ziziphus jujuba, 107421006, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Ziziphus jujuba, 107415994, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Ziziphus jujuba, 107406287, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Ziziphus jujuba, 107417662, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Ziziphus jujuba, 107411586, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Ziziphus jujuba, 107419096, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Ziziphus jujuba, 107420289, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Ziziphus jujuba, 107420293, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Ziziphus jujuba, 107403962, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Ziziphus jujuba, 107410717, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Ziziphus jujuba, 107430155, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Ziziphus jujuba, 107430385, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Ziziphus jujuba, 107430392, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Ziziphus jujuba, 107429214, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Ziziphus jujuba, 107433556, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Ziziphus jujuba, 107421422, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Ziziphus jujuba, 107429483, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Ziziphus jujuba, 107418854, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Ziziphus jujuba, 107415790, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Ziziphus jujuba, 107410662, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107421562, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107420527, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107429143, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
