Cajanus cajan, 109798137, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cajanus cajan, 109799561, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Cajanus cajan, 109799422, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Cajanus cajan, 109810862, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Cajanus cajan, 109807857, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cajanus cajan, 109792457, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cajanus cajan, 109788891, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cajanus cajan, 109794831, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cajanus cajan, 109789638, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Cajanus cajan, 109788092, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cajanus cajan, 109810077, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Cajanus cajan, 109815126, chalcone--flavonone isomerase 1A-like  [EC], ['EC:5.5.1.6'], KO:K01859
Cajanus cajan, 109815129, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Cajanus cajan, 109815132, chalcone--flavonone isomerase 1B-1-like  [EC], ['EC:5.5.1.6'], KO:K01859
Cajanus cajan, 109815139, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Cajanus cajan, 109794138, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Cajanus cajan, 109808020, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Cajanus cajan, 109804443, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Cajanus cajan, 109816831, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Cajanus cajan, 109797995, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cajanus cajan, 109814569, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cajanus cajan, 109806951, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cajanus cajan, 109814356, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Cajanus cajan, 109798920, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Cajanus cajan, 109807203, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Cajanus cajan, 109808745, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Cajanus cajan, 109787887, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Cajanus cajan, 109787893, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Cajanus cajan, 109797283, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Cajanus cajan, 109811985, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Cajanus cajan, 109811998, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Cajanus cajan, 109788818, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Cajanus cajan, 109816205, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Cajanus cajan, 109799788, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Cajanus cajan, 109817877, anthocyanidin reductase ((2S)-flavan-3-ol-forming) isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Cajanus cajan, 109794672, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Cajanus cajan, 109813851, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Cajanus cajan, 109805618, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Cajanus cajan, 109805617, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Cajanus cajan, 109806020, UDP-glycosyltransferase 88F3-like isoform X1  [EC], ['EC:2.4.1.357'], KO:K22845
Cajanus cajan, 109790681, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cajanus cajan, 109793086, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cajanus cajan, 109790795, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cajanus cajan, 109790796, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cajanus cajan, 109788569, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cajanus cajan, 109791877, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cajanus cajan, 109795767, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cajanus cajan, 109807563, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cajanus cajan, 109810624, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cajanus cajan, 109812653, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cajanus cajan, 109797768, LOW QUALITY PROTEIN: shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cajanus cajan, 109807332, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cajanus cajan, 109807333, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cajanus cajan, 109802555, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Cajanus cajan, 109816144, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109790152, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109793591, caffeoyl-CoA O-methyltransferase 5-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109799752, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109818865, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109801130, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109799390, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109799418, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109799644, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
