Aegilops tauschii
Amborella trichopoda
Arabidopsis lyrata
Arabidopsis thaliana
Arachis duranensis
Arachis ipaensis
Asparagus officinalis
Beta vulgaris
Brachypodium distachyon
Brassica napus
Brassica oleracea
Brassica rapa
Cajanus cajan
Camelina sativa
Capsella rubella
Carica papaya
Chenopodium quinoa
Cicer arietinum
Citrus clementina
Citrus sinensis
Durio zibethinus
Elaeis guineensis
Eucalyptus grandis
Eutrema salsugineum
Fragaria vesca
Glycine max
Glycine soja
Gossypium arboreum
Gossypium hirsutum
Gossypium raimondii
Hevea brasiliensis
Jatropha curcas
Juglans regia
Lotus japonicus
Lupinus angustifolius
Malus domestica
Manihot esculenta
Medicago truncatula
Musa acuminata
Nelumbo nucifera
Nicotiana attenuata
Nicotiana sylvestris
Nicotiana tabacum
Nicotiana tomentosiformis
Oryza brachyantha
Oryza sativa japonica RAPDB
Oryza sativa japonica RefSeq
Papaver somniferum
Phaseolus vulgaris
Phoenix dactylifera
Populus euphratica
Populus trichocarpa
Prunus avium
Prunus mume
Prunus persica
Pyrus x bretschneideri
Quercus suber
Raphanus sativus
Ricinus communis
Rosa chinensis
Setaria italica
Solanum lycopersicum
Solanum pennellii
Solanum tuberosum
Sorghum bicolor
Tarenaya hassleriana
Theobroma cacao
Vigna angularis
Vigna radiata
Vigna unguiculata
Zea mays
Ziziphus jujuba
