Aegilops tauschii
Amborella trichopoda
Arachis duranensis
Arachis ipaensis
Asparagus officinalis
Beta vulgaris
Brachypodium distachyon
Brassica napus
Brassica oleracea
Brassica rapa
Cajanus cajan
Camelina sativa
Capsicum annuum
Carica papaya
Chenopodium quinoa
Cicer arietinum
Citrus clementina
Citrus sinensis
Cucumis melo
Cucumis sativus
Cucurbita maxima
Cucurbita moschata
Cucurbita pepo subsp. pepo
Cynara cardunculus var. scolymus
Daucus carota
Dendrobium catenatum
Durio zibethinus
Elaeis guineensis
Eucalyptus grandis
Eutrema salsugineum
Fragaria vesca
Glycine max
Glycine soja
Gossypium arboreum
Gossypium hirsutum
Gossypium raimondii
Helianthus annuus
Hevea brasiliensis
Ipomoea nil
Jatropha curcas
Juglans regia
Lactuca sativa
Lotus japonicus
Lupinus angustifolius
Malus domestica
Manihot esculenta
Medicago truncatula
Momordica charantia
Musa acuminata
Nicotiana attenuata
Nicotiana sylvestris
Nicotiana tabacum
Nicotiana tomentosiformis
Olea europaea v. sylvestris
Oryza brachyantha
Papaver somniferum
Phalaenopsis equestris
Phaseolus vulgaris
Phoenix dactylifera
Populus euphratica
Populus trichocarpa
Prunus avium
Prunus mume
Prunus persica
Pyrus x bretschneideri
Quercus suber
Raphanus sativus
Ricinus communis
Rosa chinensis
Sesamum indicum
Solanum lycopersicum
Solanum pennellii
Solanum tuberosum
Sorghum bicolor
Spinacia oleracea
Tarenaya hassleriana
Theobroma cacao
Vigna angularis
Vigna radiata
Vigna unguiculata
Vitis vinifera
Ziziphus jujuba
