Aegilops tauschii
Amborella trichopoda
Arabidopsis lyrata
Arabidopsis thaliana
Arachis duranensis
Arachis ipaensis
Asparagus officinalis
Bathycoccus prasinos
Beta vulgaris
Brachypodium distachyon
Brassica napus
Brassica oleracea
Brassica rapa
Cajanus cajan
Camelina sativa
Capsella rubella
Capsicum annuum
Carica papaya
Chenopodium quinoa
Chlorella variabilis
Chondrus crispus
Cicer arietinum
Citrus clementina
Citrus sinensis
Coccomyxa subellipsoidea
Cucumis melo
Cucumis sativus
Cucurbita maxima
Cucurbita moschata
Cucurbita pepo subsp. pepo
Cyanidioschyzon merolae
Cynara cardunculus var. scolymus
Daucus carota
Dendrobium catenatum
Durio zibethinus
Elaeis guineensis
Eucalyptus grandis
Eutrema salsugineum
Fragaria vesca
Glycine max
Glycine soja
Gossypium arboreum
Gossypium hirsutum
Gossypium raimondii
Helianthus annuus
Hevea brasiliensis
Ipomoea nil
Jatropha curcas
Juglans regia
Lactuca sativa
Lotus japonicus
Lupinus angustifolius
Malus domestica
Manihot esculenta
Medicago truncatula
Momordica charantia
Monoraphidium neglectum
Musa acuminata
Nelumbo nucifera
Nicotiana attenuata
Nicotiana sylvestris
Nicotiana tabacum
Nicotiana tomentosiformis
Olea europaea v. sylvestris
Oryza brachyantha
Oryza sativa japonica RAPDB
Oryza sativa japonica RefSeq
Papaver somniferum
Phalaenopsis equestris
Phaseolus vulgaris
Phoenix dactylifera
Physcomitrium patens subsp. Patens
Populus euphratica
Populus trichocarpa
Prunus avium
Prunus mume
Prunus persica
Pyrus x bretschneideri
Quercus suber
Raphanus sativus
Ricinus communis
Rosa chinensis
Selaginella moellendorffii
Sesamum indicum
Setaria italica
Solanum lycopersicum
Solanum pennellii
Solanum tuberosum
Sorghum bicolor
Spinacia oleracea
Tarenaya hassleriana
Theobroma cacao
Vigna angularis
Vigna radiata
Vigna unguiculata
Vitis vinifera
Zea mays
Ziziphus jujuba
