Aegilops tauschii
Amborella trichopoda
Arachis duranensis
Arachis ipaensis
Asparagus officinalis
Beta vulgaris
Brachypodium distachyon
Cajanus cajan
Capsicum annuum
Carica papaya
Chenopodium quinoa
Cicer arietinum
Citrus clementina
Citrus sinensis
Cynara cardunculus var. scolymus
Dendrobium catenatum
Durio zibethinus
Elaeis guineensis
Glycine max
Glycine soja
Gossypium arboreum
Gossypium hirsutum
Gossypium raimondii
Helianthus annuus
Hevea brasiliensis
Ipomoea nil
Lactuca sativa
Lupinus angustifolius
Manihot esculenta
Medicago truncatula
Musa acuminata
Nicotiana attenuata
Nicotiana sylvestris
Nicotiana tabacum
Nicotiana tomentosiformis
Olea europaea v. sylvestris
Oryza brachyantha
Oryza sativa japonica RAPDB
Oryza sativa japonica RefSeq
Papaver somniferum
Phalaenopsis equestris
Phaseolus vulgaris
Phoenix dactylifera
Populus trichocarpa
Ricinus communis
Sesamum indicum
Setaria italica
Solanum lycopersicum
Solanum pennellii
Solanum tuberosum
Sorghum bicolor
Spinacia oleracea
Vigna angularis
Vigna radiata
Vigna unguiculata
Zea mays
Ziziphus jujuba
