Aegilops tauschii
Arachis duranensis
Arachis ipaensis
Asparagus officinalis
Beta vulgaris
Brachypodium distachyon
Cajanus cajan
Capsicum annuum
Chenopodium quinoa
Cicer arietinum
Citrus clementina
Citrus sinensis
Cynara cardunculus var. scolymus
Daucus carota
Dendrobium catenatum
Durio zibethinus
Elaeis guineensis
Eucalyptus grandis
Fragaria vesca
Glycine max
Glycine soja
Gossypium arboreum
Gossypium hirsutum
Gossypium raimondii
Helianthus annuus
Hevea brasiliensis
Ipomoea nil
Lactuca sativa
Lotus japonicus
Malus domestica
Manihot esculenta
Musa acuminata
Nelumbo nucifera
Nicotiana attenuata
Nicotiana sylvestris
Nicotiana tabacum
Nicotiana tomentosiformis
Olea europaea v. sylvestris
Oryza brachyantha
Oryza sativa japonica RAPDB
Oryza sativa japonica RefSeq
Papaver somniferum
Phalaenopsis equestris
Phaseolus vulgaris
Phoenix dactylifera
Populus euphratica
Populus trichocarpa
Prunus avium
Prunus mume
Prunus persica
Pyrus x bretschneideri
Quercus suber
Ricinus communis
Rosa chinensis
Sesamum indicum
Setaria italica
Solanum lycopersicum
Solanum pennellii
Solanum tuberosum
Sorghum bicolor
Spinacia oleracea
Theobroma cacao
Vigna angularis
Vigna radiata
Vigna unguiculata
Vitis vinifera
Zea mays
Ziziphus jujuba
