Aegilops tauschii
Arabidopsis thaliana
Arachis duranensis
Arachis ipaensis
Asparagus officinalis
Beta vulgaris
Brachypodium distachyon
Cajanus cajan
Camelina sativa
Capsicum annuum
Carica papaya
Chenopodium quinoa
Cicer arietinum
Citrus clementina
Citrus sinensis
Cucumis melo
Cucumis sativus
Cucurbita maxima
Cucurbita moschata
Cucurbita pepo subsp. pepo
Cynara cardunculus var. scolymus
Daucus carota
Durio zibethinus
Elaeis guineensis
Eucalyptus grandis
Fragaria vesca
Glycine max
Glycine soja
Gossypium arboreum
Gossypium hirsutum
Gossypium raimondii
Hevea brasiliensis
Jatropha curcas
Juglans regia
Lotus japonicus
Lupinus angustifolius
Malus domestica
Manihot esculenta
Medicago truncatula
Momordica charantia
Musa acuminata
Nelumbo nucifera
Nicotiana attenuata
Nicotiana tabacum
Olea europaea v. sylvestris
Oryza brachyantha
Oryza sativa japonica RAPDB
Oryza sativa japonica RefSeq
Papaver somniferum
Phaseolus vulgaris
Phoenix dactylifera
Populus euphratica
Populus trichocarpa
Prunus avium
Prunus mume
Prunus persica
Pyrus x bretschneideri
Quercus suber
Ricinus communis
Rosa chinensis
Sesamum indicum
Setaria italica
Solanum tuberosum
Sorghum bicolor
Spinacia oleracea
Theobroma cacao
Vigna angularis
Vigna radiata
Vigna unguiculata
Zea mays
Ziziphus jujuba
