Aegilops tauschii
Brachypodium distachyon
Cajanus cajan
Capsicum annuum
Carica papaya
Cicer arietinum
Citrus clementina
Citrus sinensis
Dendrobium catenatum
Durio zibethinus
Elaeis guineensis
Eucalyptus grandis
Glycine max
Glycine soja
Gossypium arboreum
Gossypium hirsutum
Gossypium raimondii
Hevea brasiliensis
Jatropha curcas
Juglans regia
Lotus japonicus
Lupinus angustifolius
Manihot esculenta
Medicago truncatula
Musa acuminata
Nelumbo nucifera
Nicotiana attenuata
Nicotiana sylvestris
Nicotiana tabacum
Nicotiana tomentosiformis
Oryza brachyantha
Oryza sativa japonica RAPDB
Oryza sativa japonica RefSeq
Phalaenopsis equestris
Phaseolus vulgaris
Phoenix dactylifera
Populus euphratica
Populus trichocarpa
Quercus suber
Setaria italica
Solanum lycopersicum
Solanum pennellii
Solanum tuberosum
Sorghum bicolor
Theobroma cacao
Vigna angularis
Vigna radiata
Vigna unguiculata
Vitis vinifera
Zea mays
Ziziphus jujuba
