Aegilops tauschii
Amborella trichopoda
Arachis duranensis
Arachis ipaensis
Asparagus officinalis
Beta vulgaris
Brachypodium distachyon
Cajanus cajan
Carica papaya
Chenopodium quinoa
Cicer arietinum
Citrus clementina
Citrus sinensis
Durio zibethinus
Elaeis guineensis
Eucalyptus grandis
Fragaria vesca
Glycine max
Glycine soja
Gossypium arboreum
Gossypium hirsutum
Gossypium raimondii
Helianthus annuus
Hevea brasiliensis
Jatropha curcas
Juglans regia
Lotus japonicus
Lupinus angustifolius
Malus domestica
Manihot esculenta
Medicago truncatula
Musa acuminata
Nelumbo nucifera
Nicotiana attenuata
Nicotiana sylvestris
Nicotiana tabacum
Nicotiana tomentosiformis
Olea europaea v. sylvestris
Oryza brachyantha
Oryza sativa japonica RAPDB
Oryza sativa japonica RefSeq
Papaver somniferum
Phaseolus vulgaris
Phoenix dactylifera
Populus euphratica
Populus trichocarpa
Prunus avium
Prunus mume
Prunus persica
Pyrus x bretschneideri
Quercus suber
Ricinus communis
Rosa chinensis
Solanum pennellii
Solanum tuberosum
Spinacia oleracea
Theobroma cacao
Vigna angularis
Vigna radiata
Vigna unguiculata
Vitis vinifera
Ziziphus jujuba
