Musa acuminata, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Musa acuminata, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, 
Musa acuminata, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Musa acuminata, phenylalanine ammonia-lyase-like, KO:K10775, 
EC:4.3.1.24, Musa acuminata, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Musa acuminata, phenylalanine ammonia-lyase-like, 
KO:K10775, EC:4.3.1.24, Musa acuminata, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Musa acuminata, 
phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Musa acuminata, cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, 
Musa acuminata, trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, Musa acuminata, trans-cinnamate 4-monooxygenase-like, KO:K00487, 
EC:1.14.14.91, Musa acuminata, trans-cinnamate 4-monooxygenase-like isoform X1, KO:K00487, EC:1.14.14.91, Musa acuminata, trans-cinnamate 4-monooxygenase, 
KO:K00487, EC:1.14.14.91, Musa acuminata, trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, Musa acuminata, 
LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 3, KO:K01904, EC:6.2.1.12, Musa acuminata, 4-coumarate--CoA ligase-like 1, KO:K01904, EC:6.2.1.12, 
Musa acuminata, probable 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, Musa acuminata, 4-coumarate--CoA ligase-like 1, KO:K01904, 
EC:6.2.1.12, Musa acuminata, 4-coumarate--CoA ligase-like 6, KO:K01904, EC:6.2.1.12, Musa acuminata, 4-coumarate--CoA ligase-like 1, 
KO:K01904, EC:6.2.1.12, Musa acuminata, probable 4-coumarate--CoA ligase 3, KO:K01904, EC:6.2.1.12, Musa acuminata, 
probable 4-coumarate--CoA ligase 3, KO:K01904, EC:6.2.1.12, Musa acuminata, probable 4-coumarate--CoA ligase 3, KO:K01904, EC:6.2.1.12, 
Musa acuminata, probable 4-coumarate--CoA ligase 3, KO:K01904, EC:6.2.1.12, Musa acuminata, probable 4-coumarate--CoA ligase 2, KO:K01904, 
EC:6.2.1.12, Musa acuminata, 4-coumarate--CoA ligase 1-like, KO:K01904, EC:6.2.1.12, Musa acuminata, 4-coumarate--CoA ligase 2-like, 
KO:K01904, EC:6.2.1.12, Musa acuminata, 4-coumarate--CoA ligase-like 5, KO:K01904, EC:6.2.1.12, Musa acuminata, 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Musa acuminata, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, 
