Brachypodium distachyon, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Brachypodium distachyon, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, 
Brachypodium distachyon, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Brachypodium distachyon, phenylalanine ammonia-lyase, KO:K10775, 
EC:4.3.1.24, Brachypodium distachyon, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Brachypodium distachyon, phenylalanine ammonia-lyase, 
KO:K10775, EC:4.3.1.24, Brachypodium distachyon, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Brachypodium distachyon, 
phenylalanine ammonia-lyase, KO:K13064, EC:4.3.1.25, Brachypodium distachyon, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, 
Brachypodium distachyon, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Brachypodium distachyon, cytochrome P450 CYP73A100, KO:K00487, 
EC:1.14.14.91, Brachypodium distachyon, 4-coumarate--CoA ligase-like 9, KO:K01904, EC:6.2.1.12, Brachypodium distachyon, probable 4-coumarate--CoA ligase 3, 
KO:K01904, EC:6.2.1.12, Brachypodium distachyon, 4-coumarate--CoA ligase-like 1, KO:K01904, EC:6.2.1.12, Brachypodium distachyon, 
probable 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, Brachypodium distachyon, probable 4-coumarate--CoA ligase 1, KO:K01904, EC:6.2.1.12, 
Brachypodium distachyon, probable 4-coumarate--CoA ligase 4, KO:K01904, EC:6.2.1.12, Brachypodium distachyon, probable 4-coumarate--CoA ligase 5, KO:K01904, 
EC:6.2.1.12, Brachypodium distachyon, 4-coumarate--CoA ligase-like 3 isoform X1, KO:K01904, EC:6.2.1.12, Brachypodium distachyon, 4-coumarate--CoA ligase-like 5, 
KO:K01904, EC:6.2.1.12, Brachypodium distachyon, hydroxycinnamoyltransferase 1, KO:K13065, EC:2.3.1.133, Brachypodium distachyon, 
hydroxycinnamoyltransferase 2, KO:K13065, EC:2.3.1.133, Brachypodium distachyon, tryptamine benzoyltransferase 1, KO:K13065, EC:2.3.1.133, 
Brachypodium distachyon, tryptamine benzoyltransferase 2, KO:K13065, EC:2.3.1.133, Brachypodium distachyon, putrescine hydroxycinnamoyltransferase 1, KO:K13065, 
EC:2.3.1.133, Brachypodium distachyon, hydroxycinnamoyltransferase 4, KO:K13065, EC:2.3.1.133, Brachypodium distachyon, putrescine hydroxycinnamoyltransferase 1, 
KO:K13065, EC:2.3.1.133, Brachypodium distachyon, putrescine hydroxycinnamoyltransferase 1, KO:K13065, EC:2.3.1.133, Brachypodium distachyon, 
putrescine hydroxycinnamoyltransferase 1, KO:K13065, EC:2.3.1.133, Brachypodium distachyon, putrescine hydroxycinnamoyltransferase 1, KO:K13065, EC:2.3.1.133, 
Brachypodium distachyon, hydroxycinnamoyltransferase 4, KO:K13065, EC:2.3.1.133, Brachypodium distachyon, putrescine hydroxycinnamoyltransferase 1, KO:K13065, 
EC:2.3.1.133, Brachypodium distachyon, putrescine hydroxycinnamoyltransferase 1, KO:K13065, EC:2.3.1.133, Brachypodium distachyon, hydroxycinnamoyltransferase 4-like, 
KO:K13065, EC:2.3.1.133, Brachypodium distachyon, cytochrome P450 98A1, KO:K09754, EC:1.14.14.96, Brachypodium distachyon, 
caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Brachypodium distachyon, caffeoylshikimate esterase isoform X1, KO:K18368, EC:3.1.1.-, 
Brachypodium distachyon, caffeoylshikimate esterase isoform X1, KO:K18368, EC:3.1.1.-, Brachypodium distachyon, caffeoylshikimate esterase, KO:K18368, 
EC:3.1.1.-, Brachypodium distachyon, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Brachypodium distachyon, caffeoyl-CoA O-methyltransferase 1, 
KO:K00588, EC:2.1.1.104, Brachypodium distachyon, tricin synthase 1, KO:K00588, EC:2.1.1.104, Brachypodium distachyon, 
tricin synthase 1, KO:K00588, EC:2.1.1.104, Brachypodium distachyon, cinnamoyl-CoA reductase 1, KO:K09753, EC:1.2.1.44, 
Brachypodium distachyon, cinnamoyl-CoA reductase 1 isoform X1, KO:K09753, EC:1.2.1.44, Brachypodium distachyon, cinnamoyl-CoA reductase 2, KO:K09753, 
EC:1.2.1.44, Brachypodium distachyon, cinnamoyl-CoA reductase 1, KO:K09753, EC:1.2.1.44, Brachypodium distachyon, cinnamoyl-CoA reductase 2, 
KO:K09753, EC:1.2.1.44, Brachypodium distachyon, cinnamoyl-CoA reductase 1, KO:K09753, EC:1.2.1.44, Brachypodium distachyon, 
cinnamoyl-CoA reductase 1 isoform X1, KO:K09753, EC:1.2.1.44, Brachypodium distachyon, cinnamoyl-CoA reductase 1-like isoform X1, KO:K09753, EC:1.2.1.44, 
Brachypodium distachyon, aldehyde dehydrogenase family 2 member C4, KO:K12355, EC:1.2.1.68, Brachypodium distachyon, aldehyde dehydrogenase family 2 member C4, KO:K12355, 
EC:1.2.1.68, Brachypodium distachyon, aldehyde dehydrogenase family 2 member C4, KO:K12355, EC:1.2.1.68, Brachypodium distachyon, cytochrome P450 84A1, 
KO:K09755, EC:1.14.-.-, Brachypodium distachyon, probable cinnamyl alcohol dehydrogenase 1 isoform X9, KO:K00083, EC:1.1.1.195, Brachypodium distachyon, 
CAD5, probable cinnamyl alcohol dehydrogenase, KO:K00083, EC:1.1.1.195, Brachypodium distachyon, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, 
EC:1.1.1.195, Brachypodium distachyon, probable cinnamyl alcohol dehydrogenase 5, KO:K00083, EC:1.1.1.195, Brachypodium distachyon, 1-Cys peroxiredoxin PER1, 
KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Brachypodium distachyon, peroxidase 5, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 2, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 5, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase 2, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 5, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase 5, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase P7, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 1, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 2, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 2, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase 45, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase 2, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 2, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 1, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 1, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase P7, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase P7 isoform X1, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 24 isoform X2, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase 1, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 1, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 1, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 1, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 1, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase 1, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase P7, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase 2, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 2, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase P7, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 1, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 1, KO:K00430, EC:1.11.1.7, 
