7,4'-Di-O-Methylcoclaurine:	Papaver somniferum 
7-O-Methylcoclaurine:	Papaver somniferum 
4'-Methoxydehydrocyclopeptin:	Aspergillus nidulans
Quinolinone B:	Stigmatella aurantiaca Sg a15
14-Methoxyviridicatin:	Stigmatella aurantiaca Sg a15
4'-Methoxyviridicatin:	Aspergillus nidulans
4'-Methoxycyclopeptin:	Aspergillus nidulans	Stigmatella aurantiaca Sg a15
(+)-Coumaroylepilupinine:	Lupinus hirsutus 
(-)-p-Coumaroyllupinine:	Lupinus hirsutus 
Marinacarboline B:	Marinactinospora thermotolerans
Marinacarboline A:	Marinactinospora thermotolerans
Senegin IV:	Polygala senega var.latifolia 
Senegin III:	Polygala senega var.latifolia 
Kealiiquinone:	Leucetta chagosensis
Segetalin G:	Vaccaria segetalis 
Pusilatin E:	Riccardia multifida ssp.decrescens
Pannellin 1-O-acetate || (-)-Pannellin 1-O-acetate:	Aglaia spp.
Pannellin || (-)-Pannellin:	Aglaia edulis 	Aglaia spp.
Kaempferol 8-sulfonate:	Phyllanthus virgatus 
E-6-O-p-coumaroyl scandoside methyl ester 10-O-methyl methyl ether:	Oldenlandia diffusa 
Dichotomin F || (-)-Dichotomin F:	Stellaria dichotoma var.lanceolata
Delavayin C:	Stellaria delavayi
6'-Desmethylcandidusin B:	Penicillium raistrickii
3'-Demethoxy-6'-desmethyl-5'-methoxycandidusin B:	Penicillium raistrickii
