C00032635 10597-60-1 3-Hydroxytyrosol || 3,4-Dihydroxyphenethyl alcohol || Hydroxytyrosol C8H10O3 154.06299419 
C00032635 10597-60-1 3-Hydroxytyrosol || 3,4-Dihydroxyphenethyl alcohol || Hydroxytyrosol C8H10O3 154.06299419 
C00032635 10597-60-1 3-Hydroxytyrosol || 3,4-Dihydroxyphenethyl alcohol || Hydroxytyrosol C8H10O3 154.06299419 
C00032635 10597-60-1 3-Hydroxytyrosol || 3,4-Dihydroxyphenethyl alcohol || Hydroxytyrosol C8H10O3 154.06299419 
C00032635 10597-60-1 3-Hydroxytyrosol || 3,4-Dihydroxyphenethyl alcohol || Hydroxytyrosol C8H10O3 154.06299419 
C00032635 10597-60-1 3-Hydroxytyrosol || 3,4-Dihydroxyphenethyl alcohol || Hydroxytyrosol C8H10O3 154.06299419 
C00002503 93-35-6 Umbelliferone || 7-Hydroxycoumarin || Umbelliferon C9H6O3 162.03169406 
C00002503 93-35-6 Umbelliferone || 7-Hydroxycoumarin || Umbelliferon C9H6O3 162.03169406 
C00002503 93-35-6 Umbelliferone || 7-Hydroxycoumarin || Umbelliferon C9H6O3 162.03169406 
C00002503 93-35-6 Umbelliferone || 7-Hydroxycoumarin || Umbelliferon C9H6O3 162.03169406 
C00002503 93-35-6 Umbelliferone || 7-Hydroxycoumarin || Umbelliferon C9H6O3 162.03169406 
C00002503 93-35-6 Umbelliferone || 7-Hydroxycoumarin || Umbelliferon C9H6O3 162.03169406 
C00020217 487-24-1 7-Hydroxy-4'-methoxyflavone || Pratol C16H12O4 268.07355887 
C00020217 487-24-1 7-Hydroxy-4'-methoxyflavone || Pratol C16H12O4 268.07355887 
C00020217 487-24-1 7-Hydroxy-4'-methoxyflavone || Pratol C16H12O4 268.07355887 
C00020217 487-24-1 7-Hydroxy-4'-methoxyflavone || Pratol C16H12O4 268.07355887 
C00020217 487-24-1 7-Hydroxy-4'-methoxyflavone || Pratol C16H12O4 268.07355887 
C00020217 487-24-1 7-Hydroxy-4'-methoxyflavone || Pratol C16H12O4 268.07355887 
C00003825 2150-11-0 3',4',7-Trihydroxyflavone || 7,3',4'-Trihydroxyflavone C15H10O5 270.05282343 
C00003825 2150-11-0 3',4',7-Trihydroxyflavone || 7,3',4'-Trihydroxyflavone C15H10O5 270.05282343 
C00003825 2150-11-0 3',4',7-Trihydroxyflavone || 7,3',4'-Trihydroxyflavone C15H10O5 270.05282343 
C00003825 2150-11-0 3',4',7-Trihydroxyflavone || 7,3',4'-Trihydroxyflavone C15H10O5 270.05282343 
C00003825 2150-11-0 3',4',7-Trihydroxyflavone || 7,3',4'-Trihydroxyflavone C15H10O5 270.05282343 
C00003825 2150-11-0 3',4',7-Trihydroxyflavone || 7,3',4'-Trihydroxyflavone C15H10O5 270.05282343 
C00000956 490-46-0 Epicatechin || (-)-Epicatechin C15H14O6 290.07903818 
C00000956 490-46-0 Epicatechin || (-)-Epicatechin C15H14O6 290.07903818 
