1. Aegilops tauschii,16. Juglans regia,30. Phoenix dactylifera
2. Carica papaya,17. Lotus japonicus,31. Populus euphratica
3. Cicer arietinum,18. Lupinus angustifolius,32. Populus trichocarpa
4. Citrus clementina,19. Manihot esculenta,33. Quercus suber
5. Citrus sinensis,20. Medicago truncatula,34. Setaria italica
6. Durio zibethinus,21. Musa acuminata,35. Solanum lycopersicum
7. Elaeis guineensis,22. Nelumbo nucifera,36. Solanum pennellii
8. Eucalyptus grandis,23. Nicotiana attenuata,37. Solanum tuberosum
9. Glycine max,24. Nicotiana sylvestris,38. Theobroma cacao
10. Glycine soja,25. Nicotiana tabacum,39. Vigna angularis
11. Gossypium arboreum,26. Nicotiana tomentosiformis,40. Vigna radiata
12. Gossypium hirsutum,27. Oryza brachyantha,41. Vigna unguiculata
13. Gossypium raimondii,28. Oryza sativa,42. Zea mays
14. Hevea brasiliensis,29. Phaseolus vulgaris,43. Ziziphus jujuba
15. Jatropha curcas, , 
