1. Amborella trichopoda,Cucurbita pepo subsp. Pepo,43. Manihot esculenta,Pyrus x bretschneideri
2. Arabidopsis lyrata,Cynara cardunculus var. scolymus,44. Momordica charantia,65. Quercus suber
3. Arachis duranensis,24. Daucus carota,45. Musa acuminata,66. Raphanus sativus
4. Arachis ipaensis,25. Dendrobium catenatum,46. Nelumbo nucifera,67. Ricinus communis
5. Asparagus officinalis,26. Durio zibethinus,47. Nicotiana attenuata,68. Rosa chinensis
6. Beta vulgaris,27. Elaeis guineensis,48. Nicotiana sylvestris,69. Selaginella moellendorffii
7. Brachypodium distachyon,28. Eucalyptus grandis,49. Nicotiana tabacum,70. Sesamum indicum
8. Brassica napus,29. Eutrema salsugineum,50. Nicotiana tomentosiformis,71. Setaria italica
9. Brassica oleracea,30. Fragaria vesca,Olea europaea var. sylvestris,72. Solanum lycopersicum
10. Brassica rapa,31. Glycine soja,52. Oryza brachyantha,73. Solanum pennellii
11. Cajanus cajan,32. Gossypium arboreum,Oryza sativa japonica,74. Solanum tuberosum
12. Camelina sativa,33. Gossypium hirsutum,54. Papaver somniferum,75. Sorghum bicolor
13. Capsicum annuum,34. Gossypium raimondii,55. Phalaenopsis equestris,76. Spinacia oleracea
14. Carica papaya,35. Hevea brasiliensis,56. Phaseolus vulgaris,77. Tarenaya hassleriana
15. Chenopodium quinoa,36. Ipomoea nil,57. Phoenix dactylifera,78. Theobroma cacao
16. Citrus clementina,37. Jatropha curcas,58. Physcomitrium patens,79. Vigna angularis
17. Citrus sinensis,38. Juglans regia,59. Populus euphratica,80. Vigna radiata
18. Cucumis melo,39. Lactuca sativa,60. Populus trichocarpa,81. Vigna unguiculata
19. Cucumis sativus,40. Lotus japonicus,61. Prunus avium,82. Vitis vinifera
20. Cucurbita maxima,41. Lupinus angustifolius,62. Prunus mume,83. Zea mays
21. Cucurbita moschata,42. Malus domestica,63. Prunus persica,84. Ziziphus jujuba
