Lupinus angustifolius, 109332844, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Lupinus angustifolius, 109355565, chalcone synthase 6-4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Lupinus angustifolius, 109362511, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Lupinus angustifolius, 109348568, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Lupinus angustifolius, 109337741, chalcone synthase 4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Lupinus angustifolius, 109335721, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Lupinus angustifolius, 109339338, chalcone synthase 4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Lupinus angustifolius, 109355884, chalcone synthase 4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Lupinus angustifolius, 109331133, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Lupinus angustifolius, 109331134, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Lupinus angustifolius, 109328700, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Lupinus angustifolius, 109343449, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Lupinus angustifolius, 109346509, chalcone--flavonone isomerase 2-like  [EC], ['EC:5.5.1.6'], KO:K01859
Lupinus angustifolius, 109335996, chalcone--flavonone isomerase 2-like  [EC], ['EC:5.5.1.6'], KO:K01859
Lupinus angustifolius, 109330585, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Lupinus angustifolius, 109332349, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Lupinus angustifolius, 109359463, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Lupinus angustifolius, 109326685, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Lupinus angustifolius, 109360027, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Lupinus angustifolius, 109356468, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Lupinus angustifolius, 109357523, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Lupinus angustifolius, 109339369, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Lupinus angustifolius, 109354385, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Lupinus angustifolius, 109330369, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Lupinus angustifolius, 109336518, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Lupinus angustifolius, 109351614, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Lupinus angustifolius, 109351612, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Lupinus angustifolius, 109353774, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Lupinus angustifolius, 109344553, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Lupinus angustifolius, 109343177, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Lupinus angustifolius, 109335187, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Lupinus angustifolius, 109332918, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Lupinus angustifolius, 109330732, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Lupinus angustifolius, 109356072, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Lupinus angustifolius, 109346029, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Lupinus angustifolius, 109355753, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Lupinus angustifolius, 109357170, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Lupinus angustifolius, 109353916, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Lupinus angustifolius, 109338515, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Lupinus angustifolius, 109325045, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Lupinus angustifolius, 109344144, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
