Zea mays, 100274415, c2; chalcone synthase C2  [EC], ['EC:2.3.1.74'], KO:K00660
Zea mays, 100282642, chalcone synthase WHP1  [EC], ['EC:2.3.1.74'], KO:K00660
Zea mays, 100276821, chi1; chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Zea mays, 100284018, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Zea mays, 100275381, uncharacterized protein LOC100275381  [EC], ['EC:5.5.1.6'], KO:K01859
Zea mays, 542712, fht1; uncharacterized protein LOC542712  [EC], ['EC:1.14.11.9'], KO:K00475
Zea mays, 100272992, uncharacterized LOC100272992  [EC], ['EC:1.14.20.6'], KO:K05278
Zea mays, 103627785, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Zea mays, 100272756, putative cytochrome P450 superfamily protein  [EC], ['EC:1.14.14.91'], KO:K00487
Zea mays, 100284998, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Zea mays, 100272801, putative cytochrome P450 superfamily protein  [EC], ['EC:1.14.14.91'], KO:K00487
Zea mays, 103636555, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Zea mays, 100273383, uncharacterized protein LOC100273383  [EC], ['EC:1.14.14.82'], KO:K05280
Zea mays, 100279887, uncharacterized protein LOC100279887  [EC], ['EC:1.14.14.82'], KO:K05280
Zea mays, 103653707, flavonoid 3'-monooxygenase CYP75B3  [EC], ['EC:1.14.14.82'], KO:K05280
Zea mays, 100272982, anthocyaninless 4  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Zea mays, 100286107, pco110172(456); dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Zea mays, 103646891, cytochrome P450 93G1  [EC], ['EC:1.14.19.76'], KO:K23180
Zea mays, 103642652, cytochrome P450 93G1  [EC], ['EC:1.14.19.76'], KO:K23180
Zea mays, 103641445, cytochrome P450 93G1  [EC], ['EC:1.14.19.76'], KO:K23180
Zea mays, 100278079, uncharacterized LOC100278079  [EC], ['EC:1.14.14.81'], KO:K13083
Zea mays, 103639113, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Zea mays, 100127010, a2; leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Zea mays, 103655046, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Zea mays, 100191338, uncharacterized protein LOC100191338 isoform 1  [EC], ['EC:1.3.1.77'], KO:K08695
Zea mays, 100282500, leucoanthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Zea mays, 100280098, uncharacterized LOC100280098  [EC], ['EC:1.3.1.77'], KO:K08695
Zea mays, 103652362, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Zea mays, 103640406, naringenin 7-O-methyltransferase  [EC], ['EC:2.1.1.232'], KO:K22440
Zea mays, 100274269, uncharacterized protein LOC100274269  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100279986, uncharacterized protein LOC100279986  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100279982, pco076728; Spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100281073, anthranilate N-benzoyltransferase protein 1  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100284063, pco096884; uncharacterized protein LOC100284063  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100284770, uncharacterized protein LOC100284770  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100304329, uncharacterized protein LOC100304329  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100382972, uncharacterized protein LOC100382972  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 103649821, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 103649769, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100501555, uncharacterized protein LOC100501555  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 103649816, putrescine hydroxycinnamoyltransferase 1 isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 109942262, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 109942297, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Zea mays, 100191539, putative cytochrome P450 superfamily protein  [EC], ['EC:1.14.14.96'], KO:K09754
Zea mays, 100274274, putative cytochrome P450 superfamily protein  [EC], ['EC:1.14.14.96'], KO:K09754
Zea mays, 107282093, uncharacterized protein LOC107282093  [EC], ['EC:2.1.1.104'], KO:K00588
Zea mays, 100273683, CCOAOMT2; caffeoyl-CoA O-methyltransferase 2  [EC], ['EC:2.1.1.104'], KO:K00588
