Phoenix dactylifera, 103703950, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Phoenix dactylifera, 103708643, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Phoenix dactylifera, 103708669, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Phoenix dactylifera, 103718264, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Phoenix dactylifera, 103702142, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103702256, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103722165, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103713131, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103706246, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103708914, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 120110174, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103701563, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Phoenix dactylifera, 103707092, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Phoenix dactylifera, 103708041, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Phoenix dactylifera, 103720909, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Phoenix dactylifera, 103717120, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Phoenix dactylifera, 103718393, 4-coumarate-CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Phoenix dactylifera, 103720770, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Phoenix dactylifera, 103705686, 4-coumarate--CoA ligase-like 5 isoform X3  [EC], ['EC:6.2.1.12'], KO:K01904
Phoenix dactylifera, 103697376, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103697378, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103699039, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103707445, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103707448, hydroxycinnamoyltransferase isoform X2  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103712513, LOW QUALITY PROTEIN: salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
