Prunus persica, 18766147, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Prunus persica, 18793306, polyketide synthase 5 isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Prunus persica, 18789485, polyketide synthase 5  [EC], ['EC:2.3.1.74'], KO:K00660
Prunus persica, 18786520, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Prunus persica, 18784995, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Prunus persica, 18770366, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Prunus persica, 18792331, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Prunus persica, 18788166, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Prunus persica, 18789071, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Prunus persica, 18788410, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Prunus persica, 18791756, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Prunus persica, 18772818, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Prunus persica, 18777306, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Prunus persica, 18788884, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Prunus persica, 18777055, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Prunus persica, 18778549, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Prunus persica, 18789589, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Prunus persica, 18789262, UDP-glycosyltransferase 88F5  [EC], ['EC:2.4.1.357'], KO:K22845
Prunus persica, 18775123, UDP-glycosyltransferase 88B1  [EC], ['EC:2.4.1.357'], KO:K22845
Prunus persica, 18789439, UDP-glycosyltransferase 88F5  [EC], ['EC:2.4.1.357'], KO:K22845
Prunus persica, 18789761, UDP-glycosyltransferase 88F5  [EC], ['EC:2.4.1.357'], KO:K22845
Prunus persica, 18792481, UDP-glycosyltransferase 88F5  [EC], ['EC:2.4.1.357'], KO:K22845
Prunus persica, 18783095, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18781919, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18779361, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18781918, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18783187, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18782712, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18782933, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18784459, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18772575, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 109950432, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 109946874, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 109948912, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18790787, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 109948145, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 109948832, BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18789708, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus persica, 18792412, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus persica, 18789709, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus persica, 18789678, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus persica, 18793505, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus persica, 18767560, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus persica, 18771033, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus persica, 109946237, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus persica, 18786011, flavonoid 3',5'-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus persica, 109947186, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
