Prunus mume, 103324313, polyketide synthase 5  [EC], ['EC:2.3.1.74'], KO:K00660
Prunus mume, 103324314, polyketide synthase 5-like  [EC], ['EC:2.3.1.74'], KO:K00660
Prunus mume, 103324315, polyketide synthase 5-like  [EC], ['EC:2.3.1.74'], KO:K00660
Prunus mume, 103332567, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Prunus mume, 103332893, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Prunus mume, 103340206, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Prunus mume, 103326444, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Prunus mume, 103332906, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Prunus mume, 103332909, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Prunus mume, 103332910, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Prunus mume, 103323718, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Prunus mume, 103339178, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Prunus mume, 103338591, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Prunus mume, 103320869, LOW QUALITY PROTEIN: bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Prunus mume, 103337372, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Prunus mume, 103324591, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Prunus mume, 103341429, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Prunus mume, 103319271, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Prunus mume, 103319270, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Prunus mume, 103319329, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Prunus mume, 103329047, anthocyanidin 5,3-O-glucosyltransferase-like  [EC], ['EC:2.4.1.357'], KO:K22845
Prunus mume, 103328213, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103330667, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103335795, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103325763, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103339039, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103328216, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103318826, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103321906, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103321939, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103321941, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103321944, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103321945, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103322001, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103322002, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
