Physcomitrium patens subsp. Patens, 112273833, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens subsp. Patens, 112273834, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens subsp. Patens, 112278877, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens subsp. Patens, 112276937, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens subsp. Patens, 112277636, phenylalanine ammonia-lyase class 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens subsp. Patens, 112285521, phenylalanine ammonia-lyase class 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens subsp. Patens, 112290398, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens subsp. Patens, 112290843, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens subsp. Patens, 112291346, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens subsp. Patens, 112286715, phenylalanine ammonia-lyase class 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens subsp. Patens, 112287672, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens subsp. Patens, 112295966, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens subsp. Patens, 112294398, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens subsp. Patens, 112277388, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Physcomitrium patens subsp. Patens, 112281483, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Physcomitrium patens subsp. Patens, 112279424, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
