Raphanus sativus, 108854852, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Raphanus sativus, 108862526, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Raphanus sativus, 108855076, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Raphanus sativus, 108812387, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Raphanus sativus, 108829906, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Raphanus sativus, 108849675, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Raphanus sativus, 108848885, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Raphanus sativus, 108812700, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Raphanus sativus, 108847879, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Raphanus sativus, 108817856, 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Raphanus sativus, 108859869, 4-coumarate--CoA ligase 4-like  [EC], ['EC:6.2.1.12'], KO:K01904
Raphanus sativus, 108824986, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Raphanus sativus, 108825885, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Raphanus sativus, 108825946, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Raphanus sativus, 108805208, 4-coumarate--CoA ligase 4-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Raphanus sativus, 108818568, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Raphanus sativus, 108862381, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Raphanus sativus, 108862454, 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Raphanus sativus, 108862456, 4-coumarate--CoA ligase 4-like  [EC], ['EC:6.2.1.12'], KO:K01904
Raphanus sativus, 108828363, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Raphanus sativus, 108813800, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Raphanus sativus, 108826445, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Raphanus sativus, 108826500, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Raphanus sativus, 108847369, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Raphanus sativus, 108847370, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Raphanus sativus, 108812355, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Raphanus sativus, 108859971, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Raphanus sativus, 108857959, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Raphanus sativus, 108858042, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Raphanus sativus, 108848401, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Raphanus sativus, 108847330, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
