Daucus carota, 108217754, phenylalanine ammonia-lyase 3  [EC], ['EC:4.3.1.24'], KO:K10775
Daucus carota, 108227736, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Daucus carota, 108224761, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Daucus carota, 108223317, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Daucus carota, 108197548, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Daucus carota, 108223289, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Daucus carota, 108223931, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Daucus carota, 108193321, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Daucus carota, 108198861, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Daucus carota, 108227923, 4-coumarate--CoA ligase 1 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Daucus carota, 108206420, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Daucus carota, 108193188, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Daucus carota, 108207861, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108215123, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108213247, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108213352, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108212606, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108213436, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108220879, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108223132, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108223171, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108222183, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108196494, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108193353, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108194611, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108196831, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108193594, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108198118, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Daucus carota, 108209804, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Daucus carota, 108227431, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Daucus carota, 108223607, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
