org_id	org_name	org_tax_level	org_tax_id	subspecies_tax_id	subspecies_name	species_tax_id	species_name	genus_tax_id	genus_name	family_tax_id	family_name	kingdom_tax_id	kingdom_name	superkingdom_tax_id	superkingdom_name
NPO1	Astragalus flexuosus	Species	1234496	NA	NA	1234496	Astragalus flexuosus	20400	Astragalus	3803	Fabaceae	33090	Viridiplantae	2759	Eukaryota
NPO10	Alexandrium ostenfeldii	Species	40986	NA	NA	40986	Alexandrium ostenfeldii	2924	Alexandrium	33834	Gonyaulacaceae	NA	NA	2759	Eukaryota
NPO100	Zanthoxylum microcarpum	Species	NA	NA	NA	NA	NA	67937	Zanthoxylum	23513	Rutaceae	33090	Viridiplantae	2759	Eukaryota
NPO1000	Thymus transcaucasicus	Species	NA	NA	NA	NA	NA	49990	Thymus	4136	Lamiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10000	Rehmanniae radix praeparata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NPO10001	Gnidia subcordata	Species	NA	NA	NA	NA	NA	142743	Gnidia	39987	Thymelaeaceae	33090	Viridiplantae	2759	Eukaryota
NPO10003	Veronica cymbalaria	Species	165331	NA	NA	165331	Veronica cymbalaria	4173	Veronica	156152	Plantaginaceae	33090	Viridiplantae	2759	Eukaryota
NPO10004	Callitropsis nootkatensis	Species	85954	NA	NA	85954	Callitropsis nootkatensis	329095	Callitropsis	3367	Cupressaceae	33090	Viridiplantae	2759	Eukaryota
NPO10006	Paraburkholderia caryophylli	Species	28094	NA	NA	28094	Paraburkholderia caryophylli	1822464	Paraburkholderia	119060	Burkholderiaceae	NA	NA	2	Bacteria
NPO10007	Desmostachya bipinnata	Species	1245295	NA	NA	1245295	Desmostachya bipinnata	1245294	Desmostachya	4479	Poaceae	33090	Viridiplantae	2759	Eukaryota
NPO10008	Tinospora capillipes	Species	150903	NA	NA	150903	Tinospora capillipes	41789	Tinospora	3455	Menispermaceae	33090	Viridiplantae	2759	Eukaryota
