1. Aegilops tauschii,14. Glycine soja,26. Oryza sativa
2. Arachis duranensis,15. Gossypium arboreum,27. Phaseolus vulgaris
3. Arachis ipaensis,16. Gossypium hirsutum,28. Populus euphratica
4. Brachypodium distachyon,17. Gossypium raimondii,29. Populus trichocarpa
5. Cajanus cajan,18. Helianthus annuus,30. Ricinus communis
6. Cicer arietinum,19. Hevea brasiliensis,31. Sesamum indicum
7. Citrus clementina,20. Lactuca sativa,32. Setaria italica
8. Citrus sinensis,21. Lupinus angustifolius,33. Sorghum bicolor
9. Cynara cardunculus,22. Manihot esculenta,34. Theobroma cacao
10. Daucus carota,23. Medicago truncatula,35. Vigna angularis
11. Durio zibethinus,24. Olea europaea,36. Vigna unguiculata
12. Eucalyptus grandis,25. Oryza brachyantha,37. Zea mays
13. Glycine max, , 
