Theobroma cacao
Capsicum annuum
Cicer arietinum
Gossypium arboreum
Solanum pennellii
Oryza sativa japonica RAPDB
Phoenix dactylifera
Hevea brasiliensis
Oryza brachyantha
Juglans regia
Solanum tuberosum
Vigna unguiculata
Nicotiana tabacum
Ziziphus jujuba
Citrus clementina
Zea mays
Oryza sativa japonica RefSeq
Glycine soja
Quercus suber
Lotus japonicus
Nicotiana sylvestris
Populus trichocarpa
Durio zibethinus
Eucalyptus grandis
Solanum lycopersicum
Gossypium raimondii
Nicotiana tomentosiformis
Brachypodium distachyon
Vigna angularis
Musa acuminata
Glycine max
Vigna radiata
Gossypium hirsutum
Manihot esculenta
Lupinus angustifolius
Carica papaya
Phalaenopsis equestris
Phaseolus vulgaris
Populus euphratica
Setaria italica
Medicago truncatula
Citrus sinensis
Aegilops tauschii
Vitis vinifera
Nelumbo nucifera
Elaeis guineensis
Nicotiana attenuata
Jatropha curcas
