07H	[4-(2H-chromen-3-ylmethyl)piperazin-1-yl]-[3-(1H-pyrazol-5-yl)phenyl]methanone	[4-(2H-chromen-3-ylmethyl)piperazin-1-yl]-[3-(1H-pyrazol-5-yl)phenyl]methanone	O=C(N1CCN(CC1)CC2=Cc3ccccc3OC2)c4cccc(c4)c5[nH]ncc5	O=C(N1CCN(CC1)CC2=Cc3ccccc3OC2)c4cccc(c4)c5[nH]ncc5	InChI=1S/C24H24N4O2/c29-24(21-6-3-5-19(15-21)22-8-9-25-26-22)28-12-10-27(11-13-28)16-18-14-20-4-1-2-7-23(20)30-17-18/h1-9,14-15H,10-13,16-17H2,(H,25,26)	WZSVVCINTGQIRF-UHFFFAOYSA-N	53389283	NONE	NONE	C24H24N4O2	400.47	0	54	0	58
09H	2-(2,3-dihydro-1-benzofuran-5-yl)-N-[2-(piperazin-1-yl)phenyl]-1,3-thiazole-4-carboxamide	2-(2,3-dihydro-1-benzofuran-5-yl)-N-(2-piperazin-1-ylphenyl)-1,3-thiazole-4-carboxamide	O=C(Nc1ccccc1N2CCNCC2)c3csc(n3)c4ccc5OCCc5c4	O=C(Nc1ccccc1N2CCNCC2)c3csc(n3)c4ccc5OCCc5c4	InChI=1S/C22H22N4O2S/c27-21(24-17-3-1-2-4-19(17)26-10-8-23-9-11-26)18-14-29-22(25-18)16-5-6-20-15(13-16)7-12-28-20/h1-6,13-14,23H,7-12H2,(H,24,27)	WRGSHXQBWJUKQD-UHFFFAOYSA-N	25095215	NONE	2037017	C22H22N4O2S	406.50	0	51	0	55
0C1	6-(2,5-difluorobenzyl)-N-(methylsulfonyl)-8-(2-oxo-1,2-dihydropyridin-3-yl)-3,6-dihydro-2H-furo[2,3-e]indole-7-carboxamide	6-[[2,5-bis(fluoranyl)phenyl]methyl]-N-methylsulfonyl-8-(2-oxidanylidene-1H-pyridin-3-yl)-2,3-dihydrofuro[2,3-e]indole-7-carboxamide	C[S](=O)(=O)NC(=O)c1n(Cc2cc(F)ccc2F)c3ccc4CCOc4c3c1C5=CC=CNC5=O	C[S](=O)(=O)NC(=O)c1n(Cc2cc(F)ccc2F)c3ccc4CCOc4c3c1C5=CC=CNC5=O	InChI=1S/C24H19F2N3O5S/c1-35(32,33)28-24(31)21-19(16-3-2-9-27-23(16)30)20-18(7-4-13-8-10-34-22(13)20)29(21)12-14-11-15(25)5-6-17(14)26/h2-7,9,11H,8,10,12H2,1H3,(H,27,30)(H,28,31)	GPKCKCQUVBOYCV-UHFFFAOYSA-N	56587969	NONE	NONE	C24H19F2N3O5S	499.49	0	54	0	58
0C2	(3S)-6-(2,5-difluorobenzyl)-3-methyl-N-(methylsulfonyl)-8-(2-oxo-1,2-dihydropyridin-3-yl)-3,6-dihydro-2H-furo[2,3-e]indole-7-carboxamide	(3S)-6-[[2,5-bis(fluoranyl)phenyl]methyl]-3-methyl-N-methylsulfonyl-8-(2-oxidanylidene-1H-pyridin-3-yl)-2,3-dihydrofuro[2,3-e]indole-7-carboxamide	C[C@@H]1COc2c1ccc3n(Cc4cc(F)ccc4F)c(C(=O)N[S](C)(=O)=O)c(C5=CC=CNC5=O)c23	C[C@@H]1COc2c1ccc3n(Cc4cc(F)ccc4F)c(C(=O)N[S](C)(=O)=O)c(C5=CC=CNC5=O)c23	InChI=1S/C25H21F2N3O5S/c1-13-12-35-23-16(13)6-8-19-21(23)20(17-4-3-9-28-24(17)31)22(25(32)29-36(2,33)34)30(19)11-14-10-15(26)5-7-18(14)27/h3-10,13H,11-12H2,1-2H3,(H,28,31)(H,29,32)/t13-/m1/s1	LVGCEDOTDJKOGS-CYBMUJFWSA-N	49774199	NONE	NONE	C25H21F2N3O5S	513.51	0	57	1	61
0LV	(2,2-dimethyl-2,3-dihydro-1-benzofuran-7-yl)methanol	(2,2-dimethyl-3H-1-benzofuran-7-yl)methanol	CC1(C)Cc2cccc(CO)c2O1	CC1(C)Cc2cccc(CO)c2O1	InChI=1S/C11H14O2/c1-11(2)6-8-4-3-5-9(7-12)10(8)13-11/h3-5,12H,6-7H2,1-2H3	LKFXMRFTJVYQMT-UHFFFAOYSA-N	2795472	NONE	4226715	C11H14O2	178.23	0	27	0	28
0NN	1-benzyl-N-[3-(1'H,3H-spiro[2-benzofuran-1,4'-piperidin]-1'-yl)propyl]-D-prolinamide	(2R)-1-(phenylmethyl)-N-(3-spiro[1H-2-benzofuran-3,4'-piperidine]-1'-ylpropyl)pyrrolidine-2-carboxamide	O=C(NCCCN1CCC2(CC1)OCc3ccccc23)[C@H]4CCCN4Cc5ccccc5	O=C(NCCCN1CCC2(CC1)OCc3ccccc23)[C@H]4CCCN4Cc5ccccc5	InChI=1S/C27H35N3O2/c31-26(25-12-6-17-30(25)20-22-8-2-1-3-9-22)28-15-7-16-29-18-13-27(14-19-29)24-11-5-4-10-23(24)21-32-27/h1-5,8-11,25H,6-7,12-21H2,(H,28,31)/t25-/m1/s1	MAKMQGKJURAJEN-RUZDIDTESA-N	10296561	NONE	201945	C27H35N3O2	433.59	0	67	1	71
113	7,8-DIHYDROXY-1-METHOXY-3-METHYL-10-OXO-4,10-DIHYDRO-1H,3H-PYRANO[4,3-B]CHROMENE-9-CARBOXYLIC ACID	(1R,3S)-7,8-dihydroxy-1-methoxy-3-methyl-10-oxo-3,4-dihydro-1H-pyrano[4,3-b]chromene-9-carboxylic acid	CO[C@@H]1O[C@@H](C)CC2=C1C(=O)c3c(O2)cc(O)c(O)c3C(O)=O	CO[C@@H]1O[C@@H](C)CC2=C1C(=O)c3c(O2)cc(O)c(O)c3C(O)=O	InChI=1S/C15H14O8/c1-5-3-7-10(15(21-2)22-5)13(18)9-8(23-7)4-6(16)12(17)11(9)14(19)20/h4-5,15-17H,3H2,1-2H3,(H,19,20)/t5-,15+/m0/s1	RSFJMLCZHPZXCW-AANKLQPISA-N	5287417	NONE	NONE	C15H14O8	322.27	0	37	2	39
11M	1-(1'-{[3-(methylsulfanyl)-2-benzothiophen-1-yl]carbonyl}spiro[1-benzofuran-3,4'-piperidin]-5-yl)methanamine	[5-(aminomethyl)spiro[2H-1-benzofuran-3,4'-piperidine]-1'-yl]-(3-methylsulfanyl-2-benzothiophen-1-yl)methanone	CSc1sc(C(=O)N2CCC3(CC2)COc4ccc(CN)cc34)c5ccccc15	CSc1sc(C(=O)N2CCC3(CC2)COc4ccc(CN)cc34)c5ccccc15	InChI=1S/C23H24N2O2S2/c1-28-22-17-5-3-2-4-16(17)20(29-22)21(26)25-10-8-23(9-11-25)14-27-19-7-6-15(13-24)12-18(19)23/h2-7,12H,8-11,13-14,24H2,1H3	VCUDZTCDUDDJGG-UHFFFAOYSA-N	25113123	NONE	NONE	C23H24N2O2S2	424.58	0	53	0	57
11N	1-[1'-(3-phenylacryloyl)spiro[1-benzofuran-3,4'-piperidin]-5-yl]methanamine	1-[5-(aminomethyl)spiro[2H-1-benzofuran-3,4'-piperidine]-1'-yl]-3-phenyl-prop-2-en-1-one	NCc1ccc2OCC3(CCN(CC3)C(=O)/C=C/c4ccccc4)c2c1	NCc1ccc2OCC3(CCN(CC3)C(=O)/C=C/c4ccccc4)c2c1	InChI=1S/C22H24N2O2/c23-15-18-6-8-20-19(14-18)22(16-26-20)10-12-24(13-11-22)21(25)9-7-17-4-2-1-3-5-17/h1-9,14H,10-13,15-16,23H2/b9-7+	RQWYWHUKHYFIPB-VQHVLOKHSA-N	25113124	NONE	NONE	C22H24N2O2	348.44	0	50	0	53
156	4-[3-OXO-3-(5,5,8,8-TETRAMETHYL-5,6,7,8-TETRAHYDRO-NAPHTHALEN-2-YL)-PROPENYL]-BENZOIC ACID	4-[(E)-3-oxo-3-(5,5,8,8-tetramethyl-6,7-dihydronaphthalen-2-yl)prop-1-enyl]benzoic acid	CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)/C=C/c3ccc(cc3)C(O)=O	CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)/C=C/c3ccc(cc3)C(O)=O	InChI=1S/C24H26O3/c1-23(2)13-14-24(3,4)20-15-18(10-11-19(20)23)21(25)12-7-16-5-8-17(9-6-16)22(26)27/h5-12,15H,13-14H2,1-4H3,(H,26,27)/b12-7+	ZXQHMEUGMCXKLO-KPKJPENVSA-N	445576	NONE	95700	C24H26O3	362.46	0	53	0	55
