Fraxinus americana
Olea europaea L. 
Syringa amurensis
Peperomia duclouxii C. DC.
Angelica dahurica 
Angelica furcijuga KITAGAWA
Angelica gigas 
Angelica pubescens f.biserrata 
Angelica spp.
Apium spp.
Daucus carota 
Falcaria vulgaris
Ferula assa
Ferula diversivittata
Ferula spp.
Ferula szovitsiana 
Foeniculum vulgare 
Heracleum candicans WALL. 
Heracleum dissectum
Heracleum granatense
Heracleum spp.
Ligusticum multivittatum
Peucedanum bourgaei Lange in Wilk.et Lange.
Peucedanum praeruptorum DUNN.
Phlojodicarpus sibiricus
Pimpinella spp.
Seseli webbii Cosson.
Tordylium apulum 
Aralia fargesii
Achillea biebersteinii 
Artemisia minor
Inula helenium L. 
Matricaria chamomilla 
Saussurea laniceps
Biebersteinia heterostemon
Biebersteinia orphanidis
Rhodiola sacra
Sedum ewersii
Chamaecyparis formosensis
Euphorbia humifusa
Acacia ehrenbergiana 
Astragalus brachycarpus
Copaifera langsdorffii 
Coronilla valentina
Coronilla varia 
Melilotus alba
Melilotus suaveolens 
Onobrychis kemularia
Onobrychis kemulariae
Phaseolus vulgaris 
Securigera elegans
Vicia sativa 
Vigna radiata 
Ginkgo biloba 
Hydrangea chinensis
Hydrangea macrophylla Ser.var.thunbergii Makino. 
Hydrangea paniculata 
Hydrangea vestita
Pileostegia viburnoides var. glabrescens
Khaya ivorensis 
Dorstenia brasiliensis 
Dorstenia turbinata
Ficus carica 
Ficus cunninghamii
Morus cathayana
Picramnia antidesma 
Picramnia latifolia
Picramnia teapensis Tul.
Adonis amurensis 
Adonis tienschanicus
Caltha palustris 
Aegle marmelos 
Citrus bergamia 
Citrus grandis 
Citrus limon 
Citrus paradisi 
Citrus sinensis cv.Valencia 
Clausena anisata 
Clausena excavata 
Dictamnus angustifolius
Haplophyllum patavinum
Murraya siamensis
Phellodendron amurense 
Phellodendron japonicum MAXIM
Poncirus trifoliata 
Ruta chalepensis 
Ruta graveolens 
Severinia buxifolia 
Zanthoxylum schinifolium 
Zanthoxylum wutaiense
Atropa belladonna 
Mandragora autumnalis 
Solanum tuberosum 
Daphne odora Thunb. 
Daphne oleoides ssp. oleoides 
Stellera chamaejasme L. 
Wikstroemia elliptica
Platytaenia dasycarpa
Oroxylum indicum 
Salvia miltiorrhiza 
Scutellaria amoena
Scutellaria baicalensis 
Scutellaria hypericifolia
Scutellaria lateriflora 
Scutellaria oreophila
Scutellaria rehderiana
Scutellaria scordifolia
Scutellaria viscidula
Sideritis baicalensis
Plantago major 
Rubia yunnanensis
Bauhinia guianensis 
Caragana microphylla 
Trifolium pratense 
Carex longebrachiata
Acacia fasciculifera
Albizia julibrissin 
Baptisia arachnifera
Baptisia australis
Baptisia bracteata
Baptisia calycosa
Baptisia cinerea
Baptisia lanceolata
Baptisia lecontei
Baptisia megacarpa
Baptisia nuttalliana
Baptisia perfoliata
Baptisia simplicifolia
Glycyrrhiza uralensis 
Medicago coronata
Medicago littoralis
Medicago monspeliaca
Medicago orbicularis 
Medicago polymorpha 
Medicago sativa 
Sophora microphylla 
Sophora prostrata
Sophora viciifolia
Spatholobus suberectus Dunn 
Thermopsis macrophylla
Thermopsis mollis
Thermopsis rhombifolia
Thermopsis villosa
Trifolium repens 
Trifolium subterraneum 
Trigonella anguina
Trigonella coerulescens
Trigonella foenum
Trigonella laciniata
Trigonella maritima
Trigonella spicata
Vicia faba 
Juncus trifidus
Luzula purpurea
Crocosmia x crocosmiiflora
Austrocylindropuntia subulata
Scutellaria spp.
Streptomyces sp. OH
Erycibe expansa 
Dalbergia odorifera 
Glycyrrhiza glabra 
Glycyrrhiza inflata 
Machaerium villosum
Medicago arabica
