1. Aegilops tauschii,27. Dendrobium catenatum,53. Oryza sativa
2. Arabidopsis lyrata,28. Durio zibethinus,54. Papaver somniferum
3. Arabidopsis thaliana,29. Elaeis guineensis,55. Phalaenopsis equestris
4. Arachis duranensis,30. Eutrema salsugineum,56. Phaseolus vulgaris
5. Arachis ipaensis,31. Fragaria vesca,57. Phoenix dactylifera
6. Asparagus officinalis,32. Glycine max,58. Physcomitrium patens
7. Beta vulgaris,33. Gossypium arboreum,59. Populus euphratica
8. Brachypodium distachyon,34. Gossypium raimondii,60. Populus trichocarpa
9. Brassica napus,35. Helianthus annuus,61. Prunus mume
10. Brassica oleracea,36. Hevea brasiliensis,62. Pyrus x
11. Brassica rapa,37. Ipomoea nil,63. Quercus suber
12. Cajanus cajan,38. Jatropha curcas,64. Raphanus sativus
13. Camelina sativa,39. Juglans regia,65. Ricinus communis
14. Capsicum annuum,40. Lactuca sativa,66. Rosa chinensis
15. Carica papaya,41. Lotus japonicus,67. Selaginella moellendorffii
16. Chenopodium quinoa,42. Lupinus angustifolius,68. Sesamum indicum
17. Cicer arietinum,43. Manihot esculenta,69. Setaria italica
18. Citrus clementina,44. Medicago truncatula,70. Solanum lycopersicum
19. Citrus sinensis,45. Musa acuminata,71. Solanum pennellii
20. Cucumis melo,46. Nelumbo nucifera,72. Solanum tuberosum
21. Cucumis sativus,47. Nicotiana attenuata,73. Spinacia oleracea
22. Cucurbita maxima,48. Nicotiana sylvestris,74. Tarenaya hassleriana
23. Cucurbita moschata,49. Nicotiana tabacum,75. Vigna angularis
24. Cucurbita pepo,50. Nicotiana tomentosiformis,76. Vigna unguiculata
25. Cynara cardunculus,51. Olea europaea,77. Vitis vinifera
26. Daucus carota,52. Oryza brachyantha,78. Zea mays
