1. Aegilops tauschii,31. Eucalyptus grandis,61. Phaseolus vulgaris
2. Amborella trichopoda,32. Eutrema salsugineum,62. Phoenix dactylifera
3. Arabidopsis lyrata,33. Fragaria vesca,63. Physcomitrium patens
4. Arabidopsis thaliana,34. Glycine max,64. Populus euphratica
5. Arachis duranensis,35. Glycine soja,65. Populus trichocarpa
6. Arachis ipaensis,36. Gossypium arboreum,66. Prunus avium
7. Asparagus officinalis,37. Gossypium hirsutum,67. Prunus mume
8. Beta vulgaris,38. Gossypium raimondii,68. Prunus persica
9. Brachypodium distachyon,39. Helianthus annuus,69. Pyrus x
10. Brassica napus,40. Hevea brasiliensis,70. Quercus suber
11. Brassica oleracea,41. Ipomoea nil,71. Raphanus sativus
12. Brassica rapa,42. Jatropha curcas,72. Ricinus communis
13. Cajanus cajan,43. Juglans regia,73. Rosa chinensis
14. Camelina sativa,44. Lactuca sativa,74. Selaginella moellendorffii
15. Capsicum annuum,45. Lotus japonicus,75. Sesamum indicum
16. Carica papaya,46. Lupinus angustifolius,76. Setaria italica
17. Chenopodium quinoa,47. Malus domestica,77. Solanum lycopersicum
18. Cicer arietinum,48. Manihot esculenta,78. Solanum pennellii
19. Citrus clementina,49. Medicago truncatula,79. Solanum tuberosum
20. Citrus sinensis,50. Musa acuminata,80. Sorghum bicolor
21. Cucumis melo,51. Nelumbo nucifera,81. Spinacia oleracea
22. Cucumis sativus,52. Nicotiana attenuata,82. Tarenaya hassleriana
23. Cucurbita maxima,53. Nicotiana sylvestris,83. Theobroma cacao
24. Cucurbita moschata,54. Nicotiana tabacum,84. Vigna angularis
25. Cucurbita pepo,55. Nicotiana tomentosiformis,85. Vigna radiata
26. Cynara cardunculus,56. Olea europaea,86. Vigna unguiculata
27. Daucus carota,57. Oryza brachyantha,87. Vitis vinifera
28. Dendrobium catenatum,58. Oryza sativa,88. Zea mays
29. Durio zibethinus,59. Papaver somniferum,89. Ziziphus jujuba
30. Elaeis guineensis,60. Phalaenopsis equestris, 
