ACANTHACEAE#DICLIPTERA ROXBURGHIANA#KAEMPFEROL
ACANTHACEAE#JUSTICIA SPICIGERA#KAEMPFEROL TRIRHAMNOSIDE
ACANTHACEAE#RUNGIA REPENS#KAEMPFEROL-3-O-BETA-D-RUNGIOSIDE
ACERACEAE#ACER ABLONGUM#KAEMPFEROL
ACERACEAE#ACER CISSIFOLIUM#KAEMPFEROL
ACERACEAE#ACER GLABRUM#KAEMPFEROL-3-O-ARABINOSIDE
ACERACEAE#ACER RUBRUM#KAEMPFEROL-3-O-BETA-D-GALACTOSIDE#KAEMPFEROL-3-O-RHAMNOGLUCOSIDE
ACTINIDIACEAE#ACTINIDIA ARGUTA#KAEMPFEROL-3-O-(ALPHA-RHAMNOPYRANOSYL(1-4)3'''-O-ACETYL-ALPHA-RHAMNOPYRANOSYL(1-4)3'''-O-ACETYL-ALPHA-RHAMNOPYRANOSYL(1-6)BETA-GALACTOPYRANOSIDE)#KAEMPFEROL-3-O-(ALPHA-RHAMNOPYRANOSYL(1-4)ALPHA-RHAMNOPYRANOSYL(1-6)BETA-GALACTOPYRANOSIDE)#KAEMPFEROL-3-O-(ALPHA-RHAMNOPYRANOSYL(1-4)ALPHA-RHAMNOPYRANOSYL(1-6)BETA-GLUCOPYRANOSIDE)
ACTINIDIACEAE#ACTINIDIA POLYGAMA#KAEMPFEROL-3-O-(ALPHA-RHAMNOPYRANOSYL(1-4)ALPHA-RHAMNOPYRANOSYL(1-6)BETA-GALACTOPYRANOSIDE)
ADIANTACEAE#PENTAGRAMMA TRIANGULARIS#KAEMPFEROL#KAEMPFEROL-3-4'-DIMETHYL ETHER#KAEMPFEROL-4'-METHYL ETHER
ADIANTACEAE#PENTAGRAMMA TRIANGULARIS_SSP.TRIANGULARIS#KAEMPFEROL-3-4'-DIMETHYL ETHER#KAEMPFEROL-4'-7-DIMETHYL ETHER#KAEMPFEROL-4'-METHYL ETHER
AGAVACEAE#AGAVE AMERICANA#KAEMPFEROL
AGAVACEAE#AGAVE WIGHTII#KAEMPFEROL
AGAVACEAE#POLIANTHES TUBEROSA#KAEMPFEROL#KAEMPFEROL-3-4'-DI-O-BETA-D-XYLOSIDE#KAEMPFEROL-3-4'-DIXYLOSIDE#KAEMPFEROL-3-O-BETA-D-XYLOSIDE#KAEMPFEROL-3-XYLOSIDE
ALANGIACEAE#ALANGIUM CHINENSE#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-XYLOPYRANOSYL(1-2)-BETA-D-GALACTOPYRANOSIDE
ALANGIACEAE#ALANGIUM KURZII#KAEMPFEROL-3-O-[2-6-DI-O-(ALPHA-L-RHAMNOPYRANOSYL)-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-3-O-[2-O-(BETA-D-GLUCOPYRANOSYL)-BETA-D-GALACTOPYRANOSIDE]#KAEMPFEROL-3-O-[2-O-(BETA-O-XYLOPYRANOSYL)-BETA-D-GALACTOPYRANOSIDE]
ALANGIACEAE#ALANGIUM PLATANIFOLIUM_VAR.TRILOBUM#KAEMPFEROL-3-O-NEOHESPERIDOSIDE
ALANGIACEAE#ALANGIUM PREMNIFOLIUM#KAEMPFEROL,3'-METHOXY: 3-O-BETA-D-(2''-6''-DI-ALPHA-L-RHAMNOPYRANOSYL)-GALALACTOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-(2''-6''-DI-ALPHA-L-RHAMNOPYRANOSYL)-GLUCOPYRANOSIDE
AMARANTHACEAE#AERVA JAVANICA#KAEMPFEROL GLYCOSIDE#KAEMPFEROL-3-O-ALPHA-L-GALACTOSIDE#KAEMPFEROL-3-O-ALPHA-L-RHAMNOSYL-GALACTOSIDE#KAEMPFEROL-3-RHAMNOGALACTOSIDE
