1. Aegilops tauschii,12. Gossypium arboreum,23. Nicotiana tomentosiformis
2. Brachypodium distachyon,13. Gossypium raimondii,24. Oryza brachyantha
3. Carica papaya,14. Hevea brasiliensis,25. Oryza sativa
4. Cicer arietinum,15. Jatropha curcas,26. Phoenix dactylifera
5. Citrus clementina,16. Lotus japonicus,27. Populus euphratica
6. Citrus sinensis,17. Lupinus angustifolius,28. Populus trichocarpa
7. Durio zibethinus,18. Manihot esculenta,29. Quercus suber
8. Elaeis guineensis,19. Musa acuminata,30. Solanum pennellii
9. Eucalyptus grandis,20. Nicotiana attenuata,31. Solanum tuberosum
10. Glycine max,21. Nicotiana sylvestris,32. Vigna unguiculata
11. Glycine soja,22. Nicotiana tabacum, 
