Aegilops tauschii: 
Amborella trichopoda: 
Arabidopsis lyrata: 
Arabidopsis thaliana:  ,C00000947 ,Catechin
 ,C00000956 ,Epicatechin
 ,C00000982 ,Naringenin
 ,C00004565 ,Kaempferol
 ,C00004631 ,Quercetin
 ,C00005178 ,Kaempferol 3-galactoside-7-rhamnoside
 ,C00005234 ,Kaempferol 3-gentiobioside-7-rhamnoside
 ,C00005428 ,Quercetin 3-O-beta-D-glucopyranosyl-7-O-alpha-L-rhamnopyranoside
 ,C00005432 ,Quercetin 3,7-di-O-alpha-L-rhamnopyranoside
 ,C00006614 ,Cyanidin
 ,C00006673 ,Cyanidin 3-sambubioside-5-glucoside
 ,C00006925 ,Isoliquiritigenin
 ,C00007233 ,Naringenin chalcone
 ,C00007402 ,Quercetin 3-O-[6''-O-rhamnosyl)glucoside] 7-O-rhamnoside
 ,C00007570 ,Cyanidin 3-O-[2-O-(2-O-(sinapoyl)-bata-D-xylopyranosyl) 6-O-(4-O-(beta-D-glucopyranosyl)-p-coumaroyl-bata-D-glucopyranoside] 5-O-[6-O-(malonyl) bata-D-glucopyranoside]
 ,C00007655 ,Cyanidin 3-O-[2''-O-(xylosyl) glucoside] 5-O-(6'''-O-malonyl) glucoside
 ,C00007656 ,Cyanidin 3-O-[2''-O-(2'''-O-(sinapoyl) xylosyl) glucoside] 5-O-glucoside
 ,C00007657 ,Cyanidin 3-O-[2''-O-(xylosyl)-6''-O-(p-coumaroyl) glucoside] 5-O-malonylglucoside
 ,C00007658 ,Cyanidin 3-O-[2''-O-(xylosyl)-6''-O-(p-O-(glucosyl)-p-coumaroyl) glucoside] 5-O-glucoside
 ,C00007659 ,Cyanidin 3-O-[2''-O-(xylosyl) 6''-O-(p-O-(glucosyl) p-coumaroyl) glucoside] 5-O-[6'''-O-(malonyl) glucoside]
 ,C00007660 ,Cyanidin 3-O-[2''-O-(2'''-O-(sinapoyl) xylosyl) 6''-O-(p-coumaroyl) glucoside] 5-O-glucoside
 ,C00007661 ,Cyanidin 3-O-[2''-O-(2'''-O-(sinapoyl) xylosyl) 6''-O-(p-O-(glucosyl) p-coumaroyl) glucoside] 5-O-glucoside

Arachis duranensis: 
Arachis ipaensis: 
Asparagus officinalis:  ,C00000674 ,Luteolin
 ,C00000947 ,Catechin
 ,C00000982 ,Naringenin
 ,C00001071 ,Myricetin
 ,C00003817 ,Apigenin
 ,C00004565 ,Kaempferol
 ,C00004631 ,Quercetin
 ,C00005413 ,Quercetin 3-O-rutinoside
 ,C00007233 ,Naringenin chalcone

Auxenochlorella protothecoides: 
Bathycoccus prasinos: 
Beta vulgaris: 
Brachypodium distachyon: 
Brassica napus:  ,C00005229 ,Kaempferol 3-O-sophoroside 7-O-beta-D-glucopyranoside:Kaempferol 3-sophoroside-7-glucoside
 ,C00005464 ,Quercetin 3-sophoroside-7-glucoside
 ,C00005916 ,Kaempferol 3-(2'''-sinapylsophoroside)-7-glucoside
 ,C00005922 ,Kaempferol 3-(2''-sinapylglucoside)-7-sophoroside
 ,C00007233 ,Naringenin chalcone

Brassica oleracea:  ,C00000674 ,Luteolin
 ,C00000982 ,Naringenin
 ,C00003817 ,Apigenin
 ,C00004565 ,Kaempferol
 ,C00004631 ,Quercetin
 ,C00005229 ,Kaempferol 3-O-sophoroside 7-O-beta-D-glucopyranoside:Kaempferol 3-sophoroside-7-glucoside
 ,C00005373 ,Quercetin 3-O-beta-D-glucoside
 ,C00005373 ,Quercetin 3-O-beta-D-glucoside
 ,C00005409 ,Quercetin 3-O-sophoroside
 ,C00005409 ,Quercetin 3-O-sophoroside
 ,C00005409 ,Quercetin 3-O-sophoroside
 ,C00005464 ,Quercetin 3-sophoroside-7-glucoside
 ,C00005912 ,Kaempferol 3-(2'''-(E)-p-coumarylsophoroside)-7-glucoside
 ,C00005913 ,Kaempferol 3-(2'''-(E)-caffeylsophoroside)-7-glucoside
 ,C00005914 ,Kaempferol 3-[2'''-(E)-ferulylsophoroside]-7-glucoside
 ,C00005916 ,Kaempferol 3-(2'''-sinapylsophoroside)-7-glucoside
 ,C00005996 ,Quercetin 3-(2'''-(E)-caffeylsophoroside]-7-glucoside
 ,C00005997 ,Quercetin 3-[2'''-(E)-feruloylsophoroside]-7-glucoside
 ,C00006614 ,Cyanidin
 ,C00006674 ,Cyanidin 3-sophoroside-5-glucoside
 ,C00006841 ,Cyanidin 3-(6''-malonylsophoroside)-5-glucoside
 ,C00006842 ,Cyanidin 3-(6''-p-coumarylsophoroside)-5-glucoside
 ,C00006844 ,Cyanidin 3-(6''-ferulylsophoroside)-5-glucoside
 ,C00006845 ,Cyanidin 3-(6''-sinapylsophoroside)-5-glucoside
 ,C00006846 ,C48H57O28
 ,C00006848 ,Cyanidin 3-[6''-(4-glucosylferulyl)-sophoroside]-5-glucoside
 ,C00006851 ,Cyanidin 3-(6''-p-coumaryl-2''-sinapylsophoroside)-5-glucoside
 ,C00006853 ,Cyanidin 3-(6''-ferulyl-2'''-sinapylsophoroside)-5-glucoside
 ,C00006854 ,Cyanidin 3-(6'',6'''-disinapylsophoroside)-5-glucoside
 ,C00013766 ,Kaempferol 3-sophoroside-7-cellobioside
 ,C00013805 ,Kaempferol 3-(2'''-(E)-caffeoylglucosyl)-(1-
 ,C00036981 ,Cyanidin 3-O-sophoroside-5-O-glucoside

Brassica rapa:  ,C00005229 ,Kaempferol 3-O-sophoroside 7-O-beta-D-glucopyranoside:Kaempferol 3-sophoroside-7-glucoside

Cajanus cajan: 
Camelina sativa: 
Capsella rubella: 
Capsicum annuum:  ,C00000674 ,Luteolin
 ,C00000982 ,Naringenin
