Sorghum bicolor, 8066166, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Sorghum bicolor, 8066169, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Sorghum bicolor, 8066170, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Sorghum bicolor, 8066167, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Sorghum bicolor, 8062467, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Sorghum bicolor, 8054283, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Sorghum bicolor, 8074774, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.25'], KO:K13064
Sorghum bicolor, 8054282, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.25'], KO:K13064
Sorghum bicolor, 8085395, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Sorghum bicolor, 8084483, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Sorghum bicolor, 8059757, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Sorghum bicolor, 8073882, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Sorghum bicolor, 8077554, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Sorghum bicolor, 8058452, probable 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Sorghum bicolor, 8079391, probable 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Sorghum bicolor, 8077870, probable 4-coumarate--CoA ligase 5  [EC], ['EC:6.2.1.12'], KO:K01904
Sorghum bicolor, 8082428, probable 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Sorghum bicolor, 8055123, 4-coumarate--CoA ligase-like 3 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Sorghum bicolor, 8063037, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Sorghum bicolor, 110430512, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Sorghum bicolor, 8056122, 4-coumarate--CoA ligase-like 5  [EC], ['EC:6.2.1.12'], KO:K01904
Sorghum bicolor, 8065424, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8065423, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8076209, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8077854, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8080611, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8059216, hydroxycinnamoyltransferase 4 isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8060773, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8073346, hydroxycinnamoyltransferase 4 isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8061352, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8081980, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8054592, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8060265, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8060267, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8155732, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 110433669, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 110433670, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8060780, hydroxycinnamoyltransferase 4 isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8060777, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8077042, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Sorghum bicolor, 8082405, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Sorghum bicolor, 8077900, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Sorghum bicolor, 8079949, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Sorghum bicolor, 8083868, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Sorghum bicolor, 110434113, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Sorghum bicolor, 8070884, caffeoyl-CoA O-methyltransferase 1 isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Sorghum bicolor, 8063763, caffeoyl-CoA O-methyltransferase 6  [EC], ['EC:2.1.1.104'], KO:K00588
Sorghum bicolor, 8076207, cinnamoyl-CoA reductase 1 isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Sorghum bicolor, 8079406, cinnamoyl-CoA reductase 1 isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Sorghum bicolor, 8077848, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Sorghum bicolor, 8056423, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Sorghum bicolor, 8056422, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Sorghum bicolor, 8078129, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Sorghum bicolor, 110434137, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Sorghum bicolor, 8063428, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Sorghum bicolor, 8063719, uncharacterized protein LOC8063719  [EC], ['EC:1.2.1.44'], KO:K09753
Sorghum bicolor, 8082171, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Sorghum bicolor, 8065048, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Sorghum bicolor, 110433548, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Sorghum bicolor, 8065856, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Sorghum bicolor, 8069622, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Sorghum bicolor, 8077298, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Sorghum bicolor, 8080294, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Sorghum bicolor, 110434683, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Sorghum bicolor, 8077296, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Sorghum bicolor, 8077297, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Sorghum bicolor, 8077299, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Sorghum bicolor, 8071179, probable cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Sorghum bicolor, 8073081, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Sorghum bicolor, 8071281, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8058484, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8058485, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8068188, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8068192, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8080065, peroxidase 1 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8065127, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8068187, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8068189, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8068193, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8077136, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8077137, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8077138, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8058481, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8058486, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8072693, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8072694, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8077732, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8072841, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8065128, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8063808, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8076455, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8072941, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8058833, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8083266, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8068633, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8074985, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8085825, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8080702, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8083297, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8066460, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8059311, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8078551, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8081582, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8085578, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8085580, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8078308, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8080000, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8080820, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8074114, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8076510, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8055466, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8055467, peroxidase 2 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8055468, peroxidase 57 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8066830, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8067610, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8086300, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8086301, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8086302, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8069555, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8078157, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8074519, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8084315, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8079999, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8071397, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8073988, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8085239, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8076265, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8056835, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8066080, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8084240, peroxidase 51 isoform X4  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8068598, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8058279, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8078154, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8078155, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8060305, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8063545, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8074673, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8081584, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8078555, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8082376, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8082325, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8058813, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8055624, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8058054, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8086199, peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8155490, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8073082, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8063544, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8063546, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8073083, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8063538, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8063541, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8063542, peroxidase E5  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8073084, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8078557, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8066250, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8078554, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8054498, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8081586, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8083772, LOW QUALITY PROTEIN: peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8081200, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8063045, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8083659, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8078972, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
