Abrus precatorius, 113849934, chalcone synthase 1A-like  [EC], ['EC:2.3.1.74'], KO:K00660
Abrus precatorius, 113861406, chalcone synthase 4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Abrus precatorius, 113861423, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Abrus precatorius, 113849935, chalcone synthase 1A  [EC], ['EC:2.3.1.74'], KO:K00660
Abrus precatorius, 113853010, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Abrus precatorius, 113864675, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Abrus precatorius, 113853230, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Abrus precatorius, 113868972, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Abrus precatorius, 113872665, chalcone--flavonone isomerase 2  [EC], ['EC:5.5.1.6'], KO:K01859
Abrus precatorius, 113852524, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Abrus precatorius, 113858951, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Abrus precatorius, 113859370, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Abrus precatorius, 113868659, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Abrus precatorius, 113848076, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Abrus precatorius, 113848139, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Abrus precatorius, 113853130, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Abrus precatorius, 113846441, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Abrus precatorius, 113848901, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Abrus precatorius, 113872659, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Abrus precatorius, 113846965, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Abrus precatorius, 113871299, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Abrus precatorius, 113874609, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Abrus precatorius, 113874901, NAD(P)H-dependent 6'-deoxychalcone synthase-like isoform X1 , [], KO:K08243
Abrus precatorius, 113852369, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Abrus precatorius, 113852723, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Abrus precatorius, 113856140, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
