Populus alba, 118041789, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Populus alba, 118054210, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Populus alba, 118054544, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Populus alba, 118054545, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Populus alba, 118054546, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Populus alba, 118061441, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Populus alba, 118061446, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Populus alba, 118029373, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Populus alba, 118034701, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Populus alba, 118059901, chalcone--flavonone isomerase 2  [EC], ['EC:5.5.1.6'], KO:K01859
Populus alba, 118028916, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Populus alba, 118053245, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Populus alba, 118029845, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Populus alba, 118029846, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Populus alba, 118041763, LOW QUALITY PROTEIN: flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Populus alba, 118051939, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Populus alba, 118058366, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Populus alba, 118050782, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Populus alba, 118050795, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Populus alba, 118042637, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Populus alba, 118054034, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Populus alba, 118044218, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Populus alba, 118053247, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Populus alba, 118047241, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
