Abrus precatorius, 113860764, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Abrus precatorius, 113872443, phenylalanine ammonia-lyase class 2  [EC], ['EC:4.3.1.24'], KO:K10775
Abrus precatorius, 113872534, phenylalanine ammonia-lyase 2 isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Abrus precatorius, 113872797, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Abrus precatorius, 113874937, phenylalanine ammonia-lyase class 3  [EC], ['EC:4.3.1.24'], KO:K10775
Abrus precatorius, 113855949, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Abrus precatorius, 113846441, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Abrus precatorius, 113848901, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Abrus precatorius, 113872659, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Abrus precatorius, 113867369, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Abrus precatorius, 113858955, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Abrus precatorius, 113874400, 4-coumarate--CoA ligase 2-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Abrus precatorius, 113854525, 4-coumarate--CoA ligase 1 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Abrus precatorius, 113866053, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Abrus precatorius, 113854607, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Abrus precatorius, 113855107, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Abrus precatorius, 113868565, 4-coumarate--CoA ligase 2 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Abrus precatorius, 113868705, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Abrus precatorius, 113857045, 4-coumarate--CoA ligase 1-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Abrus precatorius, 113846296, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Abrus precatorius, 113871765, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113848290, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113862234, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113862235, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113863121, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113850765, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113850767, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113863295, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113854404, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113854512, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113855460, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113867754, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113857083, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113857245, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113870079, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113861260, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Abrus precatorius, 113871901, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Abrus precatorius, 113872599, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Abrus precatorius, 113872639, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Abrus precatorius, 113873820, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Abrus precatorius, 113863761, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Abrus precatorius, 113867145, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Abrus precatorius, 113845914, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Abrus precatorius, 113858672, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113858673, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113858674, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113860244, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113853767, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113853769, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113853770, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113854674, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113854893, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113867367, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113853999, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Abrus precatorius, 113857169, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Abrus precatorius, 113853823, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Abrus precatorius, 113853824, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Abrus precatorius, 113866797, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Abrus precatorius, 113867327, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Abrus precatorius, 113867879, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Abrus precatorius, 113864871, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Abrus precatorius, 113869092, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Abrus precatorius, 113858043, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Abrus precatorius, 113848006, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Abrus precatorius, 113861533, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Abrus precatorius, 113874611, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Abrus precatorius, 113851065, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Abrus precatorius, 113865423, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Abrus precatorius, 113870695, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Abrus precatorius, 113871073, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Abrus precatorius, 113846278, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Abrus precatorius, 113858566, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Abrus precatorius, 113852441, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Abrus precatorius, 113858051, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Abrus precatorius, 113860079, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Abrus precatorius, 113851597, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113851598, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113858801, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113870438, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113870794, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113847326, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113859040, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113859195, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113859263, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113859598, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
