Carica papaya, 110807260, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Carica papaya, 110811208, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Carica papaya, 110824216, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Carica papaya, 110823746, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Carica papaya, 110809815, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Carica papaya, 110810751, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Carica papaya, 110815942, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Carica papaya, 110826413, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Carica papaya, 110807222, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Carica papaya, 110811113, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Carica papaya, 110813387, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Carica papaya, 110813404, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Carica papaya, 110820565, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Carica papaya, 110812373, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Carica papaya, 110815640, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Carica papaya, 110815641, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Carica papaya, 110815680, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Carica papaya, 110815765, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Carica papaya, 110811058, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Carica papaya, 110821129, LOW QUALITY PROTEIN: shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Carica papaya, 110811301, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Carica papaya, 110821220, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Carica papaya, 110823918, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Carica papaya, 110824771, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Carica papaya, 110826087, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Carica papaya, 110823967, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Carica papaya, 110806685, caffeoyl-CoA O-methyltransferase 2  [EC], ['EC:2.1.1.104'], KO:K00588
Carica papaya, 110823824, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Carica papaya, 110809744, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Carica papaya, 110824762, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Carica papaya, 110818570, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Carica papaya, 110822357, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Carica papaya, 110808221, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Carica papaya, 110822404, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Carica papaya, 110823164, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Carica papaya, 110810438, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Carica papaya, 110816554, LOW QUALITY PROTEIN: probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Carica papaya, 110812924, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Carica papaya, 110818179, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Carica papaya, 110807599, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Carica papaya, 110808356, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Carica papaya, 110807387, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110824968, LOW QUALITY PROTEIN: peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110818574, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110823681, peroxidase 67-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110820417, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110825831, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110824515, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110822291, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110822300, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110823282, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110807434, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110808512, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110809568, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110809572, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110810861, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
