Salvia splendens, 121799006, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Salvia splendens, 121787281, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Salvia splendens, 121748231, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Salvia splendens, 121748279, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Salvia splendens, 121792223, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Salvia splendens, 121795447, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Salvia splendens, 121746400, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Salvia splendens, 121746402, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Salvia splendens, 121787542, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Salvia splendens, 121787848, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Salvia splendens, 121762481, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Salvia splendens, 121765928, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Salvia splendens, 121798370, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121745006, probable CoA ligase CCL7  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121761224, 4-coumarate--CoA ligase-like 9 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121802256, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121802833, probable CoA ligase CCL7  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121748855, 4-coumarate--CoA ligase-like  [EC], ['EC:6.2.1.12'], KO:K01904
