Abrus precatorius, 113859872, 2-hydroxyisoflavanone synthase-like  [EC], ['EC:1.14.14.87'], KO:K13257
Abrus precatorius, 113857513, 2-hydroxyisoflavanone synthase  [EC], ['EC:1.14.14.87'], KO:K13257
Abrus precatorius, 113871120, uncharacterized protein LOC113871120  [EC], ['EC:4.2.1.105'], KO:K13258
Abrus precatorius, 113870130, 2-hydroxyisoflavanone dehydratase-like  [EC], ['EC:4.2.1.105'], KO:K13258
Abrus precatorius, 113858334, isoflavone 4'-O-methyltransferase  [EC], ['EC:2.1.1.212', 'EC:2.1.1.46'], KO:K13259
Abrus precatorius, 113858428, isoflavone 3'-hydroxylase-like  [EC], ['EC:1.14.14.88'], KO:K22932
Abrus precatorius, 113845824, isoflavone 3'-hydroxylase-like isoform X1  [EC], ['EC:1.14.14.88'], KO:K22932
Abrus precatorius, 113858397, isoflavone 2'-hydroxylase  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Abrus precatorius, 113849543, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Abrus precatorius, 113867105, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Abrus precatorius, 113857907, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Abrus precatorius, 113869706, cytochrome P450 81E8  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Abrus precatorius, 113872610, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Abrus precatorius, 113872612, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Abrus precatorius, 113863219, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Abrus precatorius, 113867100, UDP-glycosyltransferase 2-like  [EC], ['EC:2.4.1.170'], KO:K13263
Abrus precatorius, 113867610, phenolic glucoside malonyltransferase 1-like  [EC], ['EC:2.3.1.115'], KO:K13264
Abrus precatorius, 113868882, isoflavone reductase-like  [EC], ['EC:1.3.1.45'], KO:K05281
Abrus precatorius, 113869189, isoflavone reductase-like  [EC], ['EC:1.3.1.45'], KO:K05281
Abrus precatorius, 113866729, vestitone reductase-like isoform X1  [EC], ['EC:1.1.1.348'], KO:K13265
Abrus precatorius, 113862134, dirigent protein 22-like  [EC], ['EC:4.2.1.139'], KO:K25075
Abrus precatorius, 113863229, dirigent protein 1-like  [EC], ['EC:4.2.1.139'], KO:K25075
Abrus precatorius, 113865184, isoflavone reductase homolog PCBER  [EC], ['EC:1.23.1.-'], KO:K13266
Abrus precatorius, 113854387, cytochrome P450 71D9-like  [EC], ['EC:1.14.13.-'], KO:K13267
Abrus precatorius, 113855391, cytochrome P450 71D9-like  [EC], ['EC:1.14.13.-'], KO:K13267
Abrus precatorius, 113856062, cytochrome P450 71D9-like  [EC], ['EC:1.14.13.-'], KO:K13267
Abrus precatorius, 113856069, cytochrome P450 71D9-like  [EC], ['EC:1.14.13.-'], KO:K13267
Abrus precatorius, 113859174, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Abrus precatorius, 113857422, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
